x, current_density, J_max, J_min
0.000000000000000000e+00,6.116266608596380615e+10,1.094622875503196259e+11,2.923518477048280640e+11
5.000000000000000000e-01,6.060187724405577087e+10,1.087120197873800354e+11,2.870306563037633667e+11
1.000000000000000000e+00,6.017888010706453705e+10,1.079668944504641266e+11,2.818063176441780396e+11
1.500000000000000000e+00,5.989066009232002258e+10,1.072268762927616730e+11,2.766770688777125244e+11
2.000000000000000000e+00,5.973491880093036652e+10,1.064919303090484467e+11,2.716411792421856384e+11
2.500000000000000000e+00,5.971004655519014740e+10,1.057620217340302429e+11,2.666969494775836792e+11
3.000000000000000000e+00,5.981509647905886841e+10,1.050371160406983795e+11,2.618427112526789551e+11
3.500000000000000000e+00,6.004976010899684143e+10,1.043171789386964417e+11,2.570768266020849915e+11
4.000000000000000000e+00,6.041434281522603607e+10,1.036021763726983032e+11,2.523976873735579834e+11
4.500000000000000000e+00,6.090973960602489471e+10,1.028920745207971802e+11,2.478037146853579407e+11
5.000000000000000000e+00,6.153740946090419769e+10,1.021868397929056854e+11,2.432933583934868469e+11
5.500000000000000000e+00,6.229934738726113892e+10,1.014864388291669617e+11,2.388650965686234436e+11
6.000000000000000000e+00,6.319805282002320862e+10,1.007908384983766937e+11,2.345174349825787964e+11
6.500000000000000000e+00,6.423649280259389496e+10,1.001000058964157867e+11,2.302489066040990601e+11
7.000000000000000000e+00,6.541805813950592804e+10,9.941390834469396973e+10,2.260580711038449097e+11
7.500000000000000000e+00,6.674651044625167084e+10,9.873251338860403442e+10,2.219435143683815918e+11
8.000000000000000000e+00,6.822591774717825317e+10,9.805578879598655701e+10,2.179038480230143738e+11
8.500000000000000000e+00,6.986057600064462280e+10,9.738370255560514832e+10,2.139377089633096313e+11
9.000000000000000000e+00,7.165491368106735229e+10,9.671622287563246155e+10,2.100437588951423340e+11
9.500000000000000000e+00,7.361337634775119019e+10,9.605331818214604187e+10,2.062206838831157532e+11
1.000000000000000000e+01,7.574028801859648132e+10,9.539495711763500977e+10,2.024671939072000122e+11
1.050000000000000000e+01,7.803968619309683228e+10,9.474110853951660156e+10,1.987820224274409790e+11
1.100000000000000000e+01,8.051512759705886841e+10,9.409174151866311646e+10,1.951639259565915527e+11
1.150000000000000000e+01,8.316946222831828308e+10,9.344682533793881226e+10,1.916116836405218506e+11
1.200000000000000000e+01,8.600457415738850403e+10,9.280632949074696350e+10,1.881240968462666321e+11
1.250000000000000000e+01,8.902108887574743652e+10,9.217022367958668518e+10,1.846999887575703125e+11
1.300000000000000000e+01,9.221804888220884705e+10,9.153847781461987305e+10,1.813382039777941589e+11
1.350000000000000000e+01,9.559256173393261719e+10,9.091106201224775696e+10,1.780376081400507202e+11
1.400000000000000000e+01,9.913942800659173584e+10,9.028794659369747925e+10,1.747970875244346008e+11
1.450000000000000000e+01,1.028507604887076874e+11,8.966910208361795044e+10,1.716155486822197876e+11
1.500000000000000000e+01,1.067156103637653046e+11,8.905449920868580627e+10,1.684919180668975525e+11
1.550000000000000000e+01,1.107196208669227600e+11,8.844410889622052002e+10,1.654251416719294739e+11
1.600000000000000000e+01,1.148447335390996246e+11,8.783790227280924988e+10,1.624141846750941467e+11
1.650000000000000000e+01,1.190689761652432709e+11,8.723585066294105530e+10,1.594580310893073120e+11
1.700000000000000000e+01,1.233663640408726501e+11,8.663792558765037537e+10,1.565556834197970276e+11
1.750000000000000000e+01,1.277069465203685608e+11,8.604409876316992188e+10,1.537061623275194397e+11
1.800000000000000000e+01,1.320570280187005463e+11,8.545434209959280396e+10,1.509085062987002258e+11
1.850000000000000000e+01,1.363795859968438416e+11,8.486862769954374695e+10,1.481617713203910217e+11
1.900000000000000000e+01,1.406348982497852173e+11,8.428692785685939026e+10,1.454650305619314880e+11
1.950000000000000000e+01,1.447813760763319092e+11,8.370921505527789307e+10,1.428173740622083130e+11
2.000000000000000000e+01,1.487765838191044922e+11,8.313546196713710022e+10,1.402179084226076660e+11
2.050000000000000000e+01,1.525784052382546082e+11,8.256564145208201599e+10,1.376657565055553589e+11
2.100000000000000000e+01,1.561462996349214172e+11,8.199972655578086853e+10,1.351600571385445557e+11
2.150000000000000000e+01,1.594425761703612061e+11,8.143769050865020752e+10,1.326999648235502472e+11
2.200000000000000000e+01,1.624336065040842285e+11,8.087950672458847046e+10,1.302846494517329407e+11
2.250000000000000000e+01,1.650908954885487976e+11,8.032514879971850586e+10,1.279132960233350677e+11
2.300000000000000000e+01,1.673919379626113892e+11,7.977459051113851929e+10,1.255851043726757355e+11
2.350000000000000000e+01,1.693208060637287903e+11,7.922780581568167114e+10,1.232992888981506500e+11
2.400000000000000000e+01,1.708684339681370850e+11,7.868476884868408203e+10,1.210550782971468201e+11
2.450000000000000000e+01,1.720325925971094055e+11,7.814545392276150513e+10,1.188517153057818604e+11
2.500000000000000000e+01,1.728175722702206116e+11,7.760983552659399414e+10,1.166884564433803711e+11
2.550000000000000000e+01,1.732336125623293457e+11,7.707788832371942139e+10,1.145645717616015167e+11
2.600000000000000000e+01,1.732961362724093018e+11,7.654958715133471680e+10,1.124793445981324005e+11
2.650000000000000000e+01,1.730248505362921143e+11,7.602490701910580444e+10,1.104320713348647919e+11
2.700000000000000000e+01,1.724427820558276978e+11,7.550382310798535156e+10,1.084220611604733582e+11
2.750000000000000000e+01,1.715753072291805420e+11,7.498631076903872681e+10,1.064486358373150635e+11
2.800000000000000000e+01,1.704492288799424438e+11,7.447234552227813721e+10,1.045111294725717010e+11
2.850000000000000000e+01,1.690919391169351807e+11,7.396190305550457764e+10,1.026088882935574951e+11
2.900000000000000000e+01,1.675306940809895630e+11,7.345495922315777588e+10,1.007412704271168060e+11
2.950000000000000000e+01,1.657920157216226501e+11,7.295149004517404175e+10,9.890764568303672791e+10
3.000000000000000000e+01,1.639012225214425659e+11,7.245147170585202026e+10,9.710739534140209961e+10
3.050000000000000000e+01,1.618820846908668518e+11,7.195488055272596741e+10,9.533991194382092285e+10
3.100000000000000000e+01,1.597565925788789978e+11,7.146169309544702148e+10,9.360459908844970703e+10
3.150000000000000000e+01,1.575448235667012329e+11,7.097188600467204285e+10,9.190087122874942017e+10
3.200000000000000000e+01,1.552648910435746765e+11,7.048543611096003723e+10,9.022815347590487671e+10
3.250000000000000000e+01,1.529329625406367188e+11,7.000232040367610168e+10,8.858588140483972168e+10
3.300000000000000000e+01,1.502280133229144287e+11,6.952251602990306091e+10,8.697350086376272583e+10
3.350000000000000000e+01,1.474936635264520264e+11,6.904600029336039734e+10,8.539046778718023682e+10
3.400000000000000000e+01,1.448090839097755737e+11,6.857275065333060455e+10,8.383624801231225586e+10
3.450000000000000000e+01,1.421733658412453308e+11,6.810274472359305573e+10,8.231031709884988403e+10
