x,current_density_clean
0.000000000000000000e+00,6.116266608596380615e+10
5.000000000000000000e-01,6.060187724405577087e+10
1.000000000000000000e+00,6.017888010706453705e+10
1.500000000000000000e+00,5.989066009232002258e+10
2.000000000000000000e+00,5.973491880093036652e+10
2.500000000000000000e+00,5.971004655519014740e+10
3.000000000000000000e+00,5.981509647905886841e+10
3.500000000000000000e+00,6.004976010899684143e+10
4.000000000000000000e+00,6.041434281522603607e+10
4.500000000000000000e+00,6.090973960602489471e+10
5.000000000000000000e+00,6.153740946090419769e+10
5.500000000000000000e+00,6.229934738726113892e+10
6.000000000000000000e+00,6.319805282002320862e+10
6.500000000000000000e+00,6.423649280259389496e+10
7.000000000000000000e+00,6.541805813950592804e+10
7.500000000000000000e+00,6.674651044625167084e+10
8.000000000000000000e+00,6.822591774717825317e+10
8.500000000000000000e+00,6.986057600064462280e+10
9.000000000000000000e+00,7.165491368106735229e+10
9.500000000000000000e+00,7.361337634775119019e+10
1.000000000000000000e+01,7.574028801859648132e+10
1.050000000000000000e+01,7.803968619309683228e+10
1.100000000000000000e+01,8.051512759705886841e+10
1.150000000000000000e+01,8.316946222831828308e+10
1.200000000000000000e+01,8.600457415738850403e+10
1.250000000000000000e+01,8.902108887574743652e+10
1.300000000000000000e+01,9.221804888220884705e+10
1.350000000000000000e+01,9.559256173393261719e+10
1.400000000000000000e+01,9.913942800659173584e+10
1.450000000000000000e+01,1.028507604887076874e+11
1.500000000000000000e+01,1.067156103637653046e+11
1.550000000000000000e+01,1.107196208669227600e+11
1.600000000000000000e+01,1.148447335390996246e+11
1.650000000000000000e+01,1.190689761652432709e+11
1.700000000000000000e+01,1.233663640408726501e+11
1.750000000000000000e+01,1.277069465203685608e+11
1.800000000000000000e+01,1.320570280187005463e+11
1.850000000000000000e+01,1.363795859968438416e+11
1.900000000000000000e+01,1.406348982497852173e+11
1.950000000000000000e+01,1.447813760763319092e+11
2.000000000000000000e+01,1.487765838191044922e+11
2.050000000000000000e+01,1.525784052382546082e+11
2.100000000000000000e+01,1.561462996349214172e+11
2.150000000000000000e+01,1.594425761703612061e+11
2.200000000000000000e+01,1.624336065040842285e+11
2.250000000000000000e+01,1.650908954885487976e+11
2.300000000000000000e+01,1.673919379626113892e+11
2.350000000000000000e+01,1.693208060637287903e+11
2.400000000000000000e+01,1.708684339681370850e+11
2.450000000000000000e+01,1.720325925971094055e+11
2.500000000000000000e+01,1.728175722702206116e+11
2.550000000000000000e+01,1.732336125623293457e+11
2.600000000000000000e+01,1.732961362724093018e+11
2.650000000000000000e+01,1.730248505362921143e+11
2.700000000000000000e+01,1.724427820558276978e+11
2.750000000000000000e+01,1.715753072291805420e+11
2.800000000000000000e+01,1.704492288799424438e+11
2.850000000000000000e+01,1.690919391169351807e+11
2.900000000000000000e+01,1.675306940809895630e+11
2.950000000000000000e+01,1.657920157216226501e+11
3.000000000000000000e+01,1.639012225214425659e+11
3.050000000000000000e+01,1.618820846908668518e+11
3.100000000000000000e+01,1.597565925788789978e+11
3.150000000000000000e+01,1.575448235667012329e+11
3.200000000000000000e+01,1.552648910435746765e+11
3.250000000000000000e+01,1.529329625406367188e+11
