x,current_density_dirty
0.000000000000000000e+00,1.204941709202193848e+12
5.000000000000000000e-01,1.157980576252335205e+12
1.000000000000000000e+00,1.108527350257176025e+12
1.500000000000000000e+00,1.057117332431867554e+12
2.000000000000000000e+00,1.004263743164564453e+12
2.500000000000000000e+00,9.504526352935798340e+11
3.000000000000000000e+00,8.961392896602203369e+11
3.500000000000000000e+00,8.417459838060717773e+11
4.000000000000000000e+00,7.876608654045330811e+11
4.500000000000000000e+00,7.342376554335650635e+11
5.000000000000000000e+00,6.817959209512502441e+11
5.500000000000000000e+00,6.306216894041746826e+11
6.000000000000000000e+00,5.809682224154895020e+11
6.500000000000000000e+00,5.330568192194208984e+11
7.000000000000000000e+00,4.870775738591994629e+11
7.500000000000000000e+00,4.431900604778302612e+11
8.000000000000000000e+00,4.015239632944617920e+11
8.500000000000000000e+00,3.621796995937476196e+11
9.000000000000000000e+00,3.252291034178254395e+11
9.500000000000000000e+00,2.907162454016075439e+11
1.000000000000000000e+01,2.586584584750823364e+11
1.050000000000000000e+01,2.290476279244269104e+11
1.100000000000000000e+01,2.018517812416805725e+11
1.150000000000000000e+01,1.770169908866900635e+11
1.200000000000000000e+01,1.544695767886237793e+11
1.250000000000000000e+01,1.341185714190066223e+11
1.300000000000000000e+01,1.158583913215214233e+11
1.350000000000000000e+01,9.957164252073475647e+10
1.400000000000000000e+01,8.513198033275903320e+10
1.450000000000000000e+01,7.240694028371154785e+10
1.500000000000000000e+01,6.126066059390651703e+10
1.550000000000000000e+01,5.155642475826287079e+10
1.600000000000000000e+01,4.315896465643308258e+10
1.650000000000000000e+01,3.593647897033443451e+10
1.700000000000000000e+01,2.976233716583472443e+10
1.750000000000000000e+01,2.451645443291536331e+10
1.800000000000000000e+01,2.008633913315298843e+10
1.850000000000000000e+01,1.636782211176521683e+10
1.900000000000000000e+01,1.326549415983286476e+10
1.950000000000000000e+01,1.069288026255001640e+10
2.000000000000000000e+01,8.572386615844869614e+09
2.050000000000000000e+01,6.835058638594501495e+09
2.100000000000000000e+01,5.420188694340330124e+09
2.150000000000000000e+01,4.274810928081263542e+09
2.200000000000000000e+01,3.353117923905350685e+09
2.250000000000000000e+01,2.615830204472965240e+09
2.300000000000000000e+01,2.029545304878520250e+09
2.350000000000000000e+01,1.566088352793769121e+09
2.400000000000000000e+01,1.201883152910638809e+09
2.450000000000000000e+01,9.173540137034381628e+08
2.500000000000000000e+01,6.963711917007057667e+08
2.550000000000000000e+01,5.257438887864836454e+08
2.600000000000000000e+01,3.947642898976176977e+08
2.650000000000000000e+01,2.948032972963548899e+08
2.700000000000000000e+01,2.189567753670291305e+08
2.750000000000000000e+01,1.617397600016627908e+08
2.800000000000000000e+01,1.188251524316008389e+08
2.850000000000000000e+01,8.682284486638951302e+07
2.900000000000000000e+01,6.309494872421178222e+07
2.950000000000000000e+01,4.562320535220465809e+07
3.000000000000000000e+01,3.283440726890863851e+07
3.050000000000000000e+01,2.348587664220554009e+07
3.100000000000000000e+01,1.672211182714705914e+07
3.150000000000000000e+01,1.183202753973128274e+07
3.200000000000000000e+01,8.334788832133745775e+06
3.250000000000000000e+01,5.831123821866541170e+06
3.300000000000000000e+01,5.466604888271722943e+06
3.350000000000000000e+01,5.463718098377163522e+06
3.400000000000000000e+01,5.460831402302927338e+06
3.450000000000000000e+01,5.457944799999443814e+06
3.500000000000000000e+01,5.455058291417147033e+06
3.550000000000000000e+01,5.452171876506470144e+06
3.600000000000000000e+01,5.449285555217850022e+06
3.650000000000000000e+01,5.446399327501723543e+06
3.700000000000000000e+01,5.443513193308530375e+06
3.750000000000000000e+01,5.440627152588711120e+06
3.800000000000000000e+01,5.437741205292707309e+06
3.850000000000000000e+01,5.434855351370964199e+06
3.900000000000000000e+01,5.431969590773926117e+06
3.950000000000000000e+01,5.429083923452039249e+06
4.000000000000000000e+01,5.426198349355756305e+06
4.050000000000000000e+01,5.423312868435523473e+06
4.100000000000000000e+01,5.420427480641794391e+06
4.150000000000000000e+01,5.417542185925023630e+06
4.200000000000000000e+01,5.414656984235662967e+06
4.250000000000000000e+01,5.411771875524171628e+06
4.300000000000000000e+01,5.408886859741007909e+06
4.350000000000000000e+01,5.406001936836630106e+06
4.400000000000000000e+01,5.403117106761502102e+06
4.450000000000000000e+01,5.400232369466085918e+06
4.500000000000000000e+01,5.397347724900845438e+06
4.550000000000000000e+01,5.394463173016249202e+06
4.600000000000000000e+01,5.391578713762761094e+06
4.650000000000000000e+01,5.388694347090854309e+06
4.700000000000000000e+01,5.385810072950998321e+06
4.750000000000000000e+01,5.382925891293666326e+06
4.800000000000000000e+01,5.380041802069331519e+06
4.850000000000000000e+01,5.377157805228469893e+06
4.900000000000000000e+01,5.374273900721561164e+06
4.950000000000000000e+01,5.371390088499081321e+06
5.000000000000000000e+01,5.368506368511512876e+06
5.050000000000000000e+01,5.365622740709335543e+06
5.100000000000000000e+01,5.362739205043036491e+06
5.150000000000000000e+01,5.359855761463100091e+06
5.200000000000000000e+01,5.356972409920010716e+06
5.250000000000000000e+01,5.354089150364259258e+06
5.300000000000000000e+01,5.351205982746334746e+06
5.350000000000000000e+01,5.348322907016729936e+06
5.400000000000000000e+01,5.345439923125936650e+06
5.450000000000000000e+01,5.342557031024451368e+06
5.500000000000000000e+01,5.339674230662767775e+06
5.550000000000000000e+01,5.336791521991387010e+06
5.600000000000000000e+01,5.333908904960805550e+06
5.650000000000000000e+01,5.331026379521527328e+06
5.700000000000000000e+01,5.328143945624053478e+06
5.750000000000000000e+01,5.325261603218888864e+06
5.800000000000000000e+01,5.322379352256538346e+06
5.850000000000000000e+01,5.319497192687509581e+06
5.900000000000000000e+01,5.316615124462312087e+06
5.950000000000000000e+01,5.313733147531456314e+06
6.000000000000000000e+01,5.310851261845453642e+06
6.050000000000000000e+01,5.307969467354818247e+06
6.100000000000000000e+01,5.305087764010066167e+06
6.150000000000000000e+01,5.302206151761711575e+06
6.200000000000000000e+01,5.299324630560277030e+06
6.250000000000000000e+01,5.296443200356278569e+06
6.300000000000000000e+01,5.293561861100238748e+06
6.350000000000000000e+01,5.290680612742682919e+06
6.400000000000000000e+01,5.287799455234130844e+06
6.450000000000000000e+01,5.284918388525113463e+06
6.500000000000000000e+01,5.282037412566155195e+06
6.550000000000000000e+01,5.279156527307788841e+06
6.600000000000000000e+01,5.276275732700541615e+06
6.650000000000000000e+01,5.273395028694947250e+06
6.700000000000000000e+01,5.270514415241540410e+06
6.750000000000000000e+01,5.267633892290855758e+06
6.800000000000000000e+01,5.264753459793430753e+06
6.850000000000000000e+01,5.261873117699803784e+06
6.900000000000000000e+01,5.258992865960514173e+06
6.950000000000000000e+01,5.256112704526105896e+06
7.000000000000000000e+01,5.253232633347120136e+06
7.050000000000000000e+01,5.250352652374102734e+06
7.100000000000000000e+01,5.247472761557600461e+06
7.150000000000000000e+01,5.244592960848159157e+06
7.200000000000000000e+01,5.241713250196329318e+06
7.250000000000000000e+01,5.238833629552663304e+06
7.300000000000000000e+01,5.235954098867712542e+06
7.350000000000000000e+01,5.233074658092031255e+06
7.400000000000000000e+01,5.230195307176173665e+06
7.450000000000000000e+01,5.227316046070698649e+06
7.500000000000000000e+01,5.224436874726166017e+06
7.550000000000000000e+01,5.221557793093134649e+06
7.600000000000000000e+01,5.218678801122165285e+06
7.650000000000000000e+01,5.215799898763822392e+06
7.700000000000000000e+01,5.212921085968670435e+06
7.750000000000000000e+01,5.210042362687278539e+06
7.800000000000000000e+01,5.207163728870209306e+06
7.850000000000000000e+01,5.204285184468037449e+06
7.900000000000000000e+01,5.201406729431329295e+06
7.950000000000000000e+01,5.198528363710662350e+06
8.000000000000000000e+01,5.195650087256605737e+06
8.050000000000000000e+01,5.192771900019738823e+06
8.100000000000000000e+01,5.189893801950637251e+06
8.150000000000000000e+01,5.187015792999881320e+06
8.200000000000000000e+01,5.184137873118047602e+06
8.250000000000000000e+01,5.181260042255721055e+06
8.300000000000000000e+01,5.178382300363484770e+06
8.350000000000000000e+01,5.175504647391921841e+06
8.400000000000000000e+01,5.172627083291620947e+06
8.450000000000000000e+01,5.169749608013167977e+06
8.500000000000000000e+01,5.166872221507151611e+06
8.550000000000000000e+01,5.163994923724166118e+06
8.600000000000000000e+01,5.161117714614801109e+06
