x,current_suppression_factor
0.000000000000000000e+00,2.012021106781994584e-01
5.000000000000000000e-01,2.031092217296267544e-01
1.000000000000000000e+00,2.054881777123413744e-01
1.500000000000000000e+00,2.083544643230590132e-01
2.000000000000000000e+00,2.117263052133191992e-01
2.500000000000000000e+00,2.156247966349449929e-01
3.000000000000000000e+00,2.200740507518237910e-01
3.500000000000000000e+00,2.251013446826982400e-01
4.000000000000000000e+00,2.307372751847053538e-01
4.500000000000000000e+00,2.370159151887941407e-01
5.000000000000000000e+00,2.439749684287974840e-01
5.500000000000000000e+00,2.516559168674309954e-01
6.000000000000000000e+00,2.601041540237905014e-01
6.500000000000000000e+00,2.693690954111954139e-01
7.000000000000000000e+00,2.795042550698094153e-01
7.500000000000000000e+00,2.905672746034941301e-01
8.000000000000000000e+00,3.026198881999883628e-01
8.500000000000000000e+00,3.157278038499402029e-01
9.000000000000000000e+00,3.299604774457330914e-01
9.500000000000000000e+00,3.453907527542209865e-01
1.000000000000000000e+01,3.620943366139517394e-01
1.050000000000000000e+01,3.801490754023641450e-01
1.100000000000000000e+01,3.996339962710439564e-01
1.150000000000000000e+01,4.206280754231800922e-01
1.200000000000000000e+01,4.432086965348288610e-01
1.250000000000000000e+01,4.674497661915031355e-01
1.300000000000000000e+01,4.934194609535803577e-01
1.350000000000000000e+01,5.211775934835211066e-01
1.400000000000000000e+01,5.507726041297548170e-01
1.450000000000000000e+01,5.822382103086614080e-01
1.500000000000000000e+01,6.155897793216518199e-01
1.550000000000000000e+01,6.508205304546610392e-01
1.600000000000000000e+01,6.878977177418026390e-01
1.650000000000000000e+01,7.267589925528665784e-01
1.700000000000000000e+01,7.673091903993815022e-01
1.750000000000000000e+01,8.094178225814762095e-01
1.800000000000000000e+01,8.529175727793066875e-01
1.850000000000000000e+01,8.976040927769174393e-01
1.900000000000000000e+01,9.432373571728428496e-01
1.950000000000000000e+01,9.895447557144362305e-01
2.000000000000000000e+01,1.036226001595800250e+00
2.050000000000000000e+01,1.082959787173527921e+00
2.100000000000000000e+01,1.129411964222625242e+00
2.150000000000000000e+01,1.175244869514355806e+00
2.200000000000000000e+01,1.220127283230663773e+00
2.250000000000000000e+01,1.263744417974736134e+00
2.300000000000000000e+01,1.305807305929783668e+00
2.350000000000000000e+01,1.346060988569938166e+00
2.400000000000000000e+01,1.384291014170705214e+00
2.450000000000000000e+01,1.420327899798992988e+00
2.500000000000000000e+01,1.454049396072873535e+00
2.550000000000000000e+01,1.485380573517333547e+00
2.600000000000000000e+01,1.514291930298551581e+00
2.650000000000000000e+01,1.540795828771384102e+00
2.700000000000000000e+01,1.564941671065650963e+00
2.750000000000000000e+01,1.586810245354808746e+00
2.800000000000000000e+01,1.606507666033216264e+00
2.850000000000000000e+01,1.624159285238052197e+00
2.900000000000000000e+01,1.639903877628686724e+00
2.950000000000000000e+01,1.653888338659765145e+00
3.000000000000000000e+01,1.666263033129351756e+00
3.050000000000000000e+01,1.677177878122228405e+00
3.100000000000000000e+01,1.686779176834042326e+00
3.150000000000000000e+01,1.695207175491755036e+00
3.200000000000000000e+01,1.702594283817326026e+00
3.250000000000000000e+01,1.709063918194579701e+00
3.300000000000000000e+01,1.710911047678881136e+00
3.350000000000000000e+01,1.711863661409592119e+00
3.400000000000000000e+01,1.712816819913827615e+00
3.450000000000000000e+01,1.713770494754524920e+00
3.500000000000000000e+01,1.714724714975567110e+00
3.550000000000000000e+01,1.715679452108214154e+00
3.600000000000000000e+01,1.716634735228701247e+00
3.650000000000000000e+01,1.717590535836577725e+00
3.700000000000000000e+01,1.718546883040465989e+00
3.750000000000000000e+01,1.719503748308170543e+00
3.800000000000000000e+01,1.720461160780735632e+00
3.850000000000000000e+01,1.721419091894184294e+00
3.900000000000000000e+01,1.722377570822022586e+00
3.950000000000000000e+01,1.723336568968453664e+00
4.000000000000000000e+01,1.724296115539481589e+00
4.050000000000000000e+01,1.725256181907457220e+00
4.100000000000000000e+01,1.726216797310915485e+00
4.150000000000000000e+01,1.727177933090319861e+00
4.200000000000000000e+01,1.728139618516773668e+00
4.250000000000000000e+01,1.729101824898816586e+00
4.300000000000000000e+01,1.730064581540157187e+00
4.350000000000000000e+01,1.731027859717375827e+00
4.400000000000000000e+01,1.731991688766822968e+00
4.450000000000000000e+01,1.732956039933082781e+00
4.500000000000000000e+01,1.733920942585184033e+00
4.550000000000000000e+01,1.734886367935679852e+00
4.600000000000000000e+01,1.735852345386314166e+00
4.650000000000000000e+01,1.736818846117573756e+00
4.700000000000000000e+01,1.737785899563950798e+00
4.750000000000000000e+01,1.738753476873832637e+00
4.800000000000000000e+01,1.739721607514497670e+00
4.850000000000000000e+01,1.740690262602195393e+00
4.900000000000000000e+01,1.741659471637027945e+00
4.950000000000000000e+01,1.742629205703071449e+00
5.000000000000000000e+01,1.743599494333287314e+00
5.050000000000000000e+01,1.744570308579542761e+00
5.100000000000000000e+01,1.745541678007696218e+00
5.150000000000000000e+01,1.746513573637369143e+00
5.200000000000000000e+01,1.747486025067353399e+00
5.250000000000000000e+01,1.748459003284989599e+00
5.300000000000000000e+01,1.749432537922039232e+00
5.350000000000000000e+01,1.750406599933525875e+00
5.400000000000000000e+01,1.751381218984217725e+00
5.450000000000000000e+01,1.752356365996786236e+00
5.500000000000000000e+01,1.753332070669040954e+00
5.550000000000000000e+01,1.754308303891266574e+00
5.600000000000000000e+01,1.755285095394350403e+00
5.650000000000000000e+01,1.756262416036153962e+00
5.700000000000000000e+01,1.757240295580682510e+00
5.750000000000000000e+01,1.758218704853332648e+00
5.800000000000000000e+01,1.759197673651267113e+00
5.850000000000000000e+01,1.760177172767383169e+00
5.900000000000000000e+01,1.761157232032035003e+00
5.950000000000000000e+01,1.762137822205586124e+00
6.000000000000000000e+01,1.763118973151618807e+00
6.050000000000000000e+01,1.764100655597926837e+00
6.100000000000000000e+01,1.765082899441356767e+00
6.150000000000000000e+01,1.766065675377096689e+00
6.200000000000000000e+01,1.767049013335295182e+00
6.250000000000000000e+01,1.768032883978497782e+00
6.300000000000000000e+01,1.769017317270191070e+00
6.350000000000000000e+01,1.770002283840244051e+00
6.400000000000000000e+01,1.770987813685517942e+00
6.450000000000000000e+01,1.771973877403165476e+00
6.500000000000000000e+01,1.772960505023462918e+00
6.550000000000000000e+01,1.773947667110810533e+00
6.600000000000000000e+01,1.774935393728936495e+00
6.650000000000000000e+01,1.775923655409451962e+00
6.700000000000000000e+01,1.776912482249570768e+00
6.750000000000000000e+01,1.777901844748082993e+00
6.800000000000000000e+01,1.778891773035726098e+00
6.850000000000000000e+01,1.779882237578427562e+00
6.900000000000000000e+01,1.780873268540489995e+00
6.950000000000000000e+01,1.781864836354940751e+00
7.000000000000000000e+01,1.782856971219684006e+00
7.050000000000000000e+01,1.783849643534811902e+00
7.100000000000000000e+01,1.784842883531864377e+00
7.150000000000000000e+01,1.785836661577965279e+00
7.200000000000000000e+01,1.786831007938327609e+00
7.250000000000000000e+01,1.787825892947066508e+00
7.300000000000000000e+01,1.788821346903109788e+00
7.350000000000000000e+01,1.789817340107525467e+00
7.400000000000000000e+01,1.790813902892991250e+00
7.450000000000000000e+01,1.791811005527495837e+00
7.500000000000000000e+01,1.792808678377503240e+00
7.550000000000000000e+01,1.793806891677883097e+00
7.600000000000000000e+01,1.794805675828924141e+00
7.650000000000000000e+01,1.795805001032342973e+00
7.700000000000000000e+01,1.796804897722289240e+00
7.750000000000000000e+01,1.797805336067287652e+00
7.800000000000000000e+01,1.798806346535388512e+00
7.850000000000000000e+01,1.799807899261887556e+00
7.900000000000000000e+01,1.800810024748772165e+00
7.950000000000000000e+01,1.801812693098073570e+00
8.000000000000000000e+01,1.802815934845755974e+00
8.050000000000000000e+01,1.803819720060544363e+00
8.100000000000000000e+01,1.804824079312418617e+00
8.150000000000000000e+01,1.805828982636763724e+00
8.200000000000000000e+01,1.806834460637610107e+00
8.250000000000000000e+01,1.807840483316966340e+00
8.300000000000000000e+01,1.808847081312951133e+00
8.350000000000000000e+01,1.809854224594159344e+00
8.400000000000000000e+01,1.810861943832839271e+00
8.450000000000000000e+01,1.811870208964131201e+00
8.500000000000000000e+01,1.812879050694449878e+00
8.550000000000000000e+01,1.813888438925446822e+00
8.600000000000000000e+01,1.814898404397740084e+00
8.650000000000000000e+01,1.815908916979454224e+00
8.700000000000000000e+01,1.816920007445450791e+00
8.750000000000000000e+01,1.817931645630290305e+00
8.800000000000000000e+01,1.818943862343112450e+00
8.850000000000000000e+01,1.819956627384878622e+00
8.900000000000000000e+01,1.820969971599045945e+00
8.950000000000000000e+01,1.821983864752936721e+00
9.000000000000000000e+01,1.822998337724364371e+00
9.050000000000000000e+01,1.824013360246976356e+00
9.100000000000000000e+01,1.825028963232980139e+00
9.150000000000000000e+01,1.826045116382309041e+00
9.200000000000000000e+01,1.827061850641603868e+00
9.250000000000000000e+01,1.828079135677048495e+00
9.300000000000000000e+01,1.829097002469753264e+00
9.350000000000000000e+01,1.830115420652111968e+00
9.400000000000000000e+01,1.831134421239747123e+00
9.450000000000000000e+01,1.832153973831225802e+00
9.500000000000000000e+01,1.833174109476718217e+00
9.550000000000000000e+01,1.834194797740926752e+00
9.600000000000000000e+01,1.835216069708609066e+00
9.650000000000000000e+01,1.836237894910566881e+00
9.700000000000000000e+01,1.837260304466180161e+00
9.750000000000000000e+01,1.838283267872313775e+00
