x,screening_profile
0.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e-01,9.961752846051655297e+01
1.000000000000000000e+00,9.923815924977198222e+01
1.500000000000000000e+00,9.886102122223073252e+01
2.000000000000000000e+00,9.848527623932625374e+01
2.500000000000000000e+00,9.811009767275484705e+01
3.000000000000000000e+00,9.773466670684007340e+01
3.500000000000000000e+00,9.735816838724622357e+01
4.000000000000000000e+00,9.697978772051344265e+01
4.500000000000000000e+00,9.659870591442644638e+01
5.000000000000000000e+00,9.621409675902958725e+01
5.500000000000000000e+00,9.582512317294626314e+01
6.000000000000000000e+00,9.543093393431438187e+01
6.500000000000000000e+00,9.503066062495150845e+01
7.000000000000000000e+00,9.462341482648436397e+01
7.500000000000000000e+00,9.420828561917296895e+01
8.000000000000000000e+00,9.378433744796225824e+01
8.500000000000000000e+00,9.335060843586730073e+01
9.000000000000000000e+00,9.290610924204351306e+01
9.500000000000000000e+00,9.244982258057726199e+01
1.000000000000000000e+01,9.198070353572491342e+01
1.050000000000000000e+01,9.149768082932099844e+01
1.100000000000000000e+01,9.099965921530912283e+01
1.150000000000000000e+01,9.048552319331830063e+01
1.200000000000000000e+01,8.995414224588581931e+01
1.250000000000000000e+01,8.940437780970357551e+01
1.300000000000000000e+01,8.883509218692117315e+01
1.350000000000000000e+01,8.824515958429910256e+01
1.400000000000000000e+01,8.763347943169883081e+01
1.450000000000000000e+01,8.699899207275669255e+01
1.500000000000000000e+01,8.634069683575444287e+01
1.550000000000000000e+01,8.565767237891583363e+01
1.600000000000000000e+01,8.494909906088510354e+01
1.650000000000000000e+01,8.421428291630670060e+01
1.700000000000000000e+01,8.345268062468257142e+01
1.750000000000000000e+01,8.266392465948038648e+01
1.800000000000000000e+01,8.184784761061497704e+01
1.850000000000000000e+01,8.100450451821291153e+01
1.900000000000000000e+01,8.013419188776991575e+01
1.950000000000000000e+01,7.923746216774422635e+01
2.000000000000000000e+01,7.831513235355687641e+01
2.050000000000000000e+01,7.736828570826364171e+01
2.100000000000000000e+01,7.639826583857444575e+01
2.150000000000000000e+01,7.540666278095363850e+01
2.200000000000000000e+01,7.439529123202106575e+01
2.250000000000000000e+01,7.336616156503666275e+01
2.300000000000000000e+01,7.232144475698171959e+01
2.350000000000000000e+01,7.126343275524416754e+01
2.400000000000000000e+01,7.019449609396916401e+01
2.450000000000000000e+01,6.911704069829039554e+01
2.500000000000000000e+01,6.803346578094817687e+01
2.550000000000000000e+01,6.694612455114173599e+01
2.600000000000000000e+01,6.585728915592376609e+01
2.650000000000000000e+01,6.476912088429820358e+01
2.700000000000000000e+01,6.368364626142712126e+01
2.750000000000000000e+01,6.260273925013273555e+01
2.800000000000000000e+01,6.152810942384552106e+01
2.850000000000000000e+01,6.046129569960341144e+01
2.900000000000000000e+01,5.940366493892845767e+01
2.950000000000000000e+01,5.835641478923234615e+01
3.000000000000000000e+01,5.732057982462246315e+01
3.050000000000000000e+01,5.629704025327934147e+01
3.100000000000000000e+01,5.528653242867044071e+01
3.150000000000000000e+01,5.428966049818393458e+01
3.200000000000000000e+01,5.330690862149040044e+01
3.250000000000000000e+01,5.233848629955595300e+01
3.300000000000000000e+01,5.138603176354526170e+01
3.350000000000000000e+01,5.045073759046952944e+01
3.400000000000000000e+01,4.953246748622620999e+01
3.450000000000000000e+01,4.863091065009792402e+01
3.500000000000000000e+01,4.774576380141142806e+01
3.550000000000000000e+01,4.687672735045531169e+01
3.600000000000000000e+01,4.602350895630402050e+01
3.650000000000000000e+01,4.518581983585578854e+01
3.700000000000000000e+01,4.436337819332111820e+01
3.750000000000000000e+01,4.355590566239873596e+01
3.800000000000000000e+01,4.276313061205777188e+01
3.850000000000000000e+01,4.198478471704923720e+01
3.900000000000000000e+01,4.122060614444416160e+01
3.950000000000000000e+01,4.047033624785139239e+01
4.000000000000000000e+01,3.973372263901295298e+01
4.050000000000000000e+01,3.901051600126592689e+01
4.100000000000000000e+01,3.830047305034114657e+01
4.150000000000000000e+01,3.760335346276792023e+01
4.200000000000000000e+01,3.691892272987259815e+01
4.250000000000000000e+01,3.624694919697996909e+01
4.300000000000000000e+01,3.558720681446421708e+01
4.350000000000000000e+01,3.493947228375033376e+01
4.400000000000000000e+01,3.430352770913093252e+01
4.450000000000000000e+01,3.367915784671527035e+01
4.500000000000000000e+01,3.306615266059142755e+01
4.550000000000000000e+01,3.246430467100950068e+01
4.600000000000000000e+01,3.187341141833945812e+01
4.650000000000000000e+01,3.129327290690907049e+01
4.700000000000000000e+01,3.072369398008341790e+01
4.750000000000000000e+01,3.016448185630701673e+01
4.800000000000000000e+01,2.961544841851106469e+01
4.850000000000000000e+01,2.907640783903381276e+01
4.900000000000000000e+01,2.854717878644579088e+01
4.950000000000000000e+01,2.802758213614256633e+01
5.000000000000000000e+01,2.751744309756672280e+01
5.050000000000000000e+01,2.701658900738272351e+01
5.100000000000000000e+01,2.652485137996704623e+01
5.150000000000000000e+01,2.604206378018623624e+01
5.200000000000000000e+01,2.556806379992310241e+01
5.250000000000000000e+01,2.510269100758654304e+01
5.300000000000000000e+01,2.464578885334174174e+01
5.350000000000000000e+01,2.419720269258398559e+01
5.400000000000000000e+01,2.375678162244459912e+01
5.450000000000000000e+01,2.332437657656074848e+01
5.500000000000000000e+01,2.289984209533613679e+01
5.550000000000000000e+01,2.248303448943502048e+01
5.600000000000000000e+01,2.207381354618721048e+01
5.650000000000000000e+01,2.167204075932735208e+01
5.700000000000000000e+01,2.127758097384757718e+01
5.750000000000000000e+01,2.089030067959250658e+01
5.800000000000000000e+01,2.051006959677979680e+01
5.850000000000000000e+01,2.013675903114755528e+01
5.900000000000000000e+01,1.977024340228294008e+01
5.950000000000000000e+01,1.941039865810166276e+01
6.000000000000000000e+01,1.905710374804773011e+01
6.050000000000000000e+01,1.871023909476478408e+01
6.100000000000000000e+01,1.836968801415555319e+01
6.150000000000000000e+01,1.803533524218207518e+01
6.200000000000000000e+01,1.770706830370166784e+01
6.250000000000000000e+01,1.738477609240749189e+01
6.300000000000000000e+01,1.706835019028871514e+01
6.350000000000000000e+01,1.675768349879458796e+01
6.400000000000000000e+01,1.645267151069985445e+01
6.450000000000000000e+01,1.615321099064461308e+01
6.500000000000000000e+01,1.585920120112181664e+01
6.550000000000000000e+01,1.557054263061185040e+01
6.600000000000000000e+01,1.528713817534699793e+01
6.650000000000000000e+01,1.500889191332392336e+01
6.700000000000000000e+01,1.473571024344030356e+01
6.750000000000000000e+01,1.446750070373034269e+01
6.800000000000000000e+01,1.420417306941118873e+01
6.850000000000000000e+01,1.394563821374630663e+01
6.900000000000000000e+01,1.369180916648385882e+01
6.950000000000000000e+01,1.344260001581031005e+01
7.000000000000000000e+01,1.319792692860947447e+01
7.050000000000000000e+01,1.295770709202414039e+01
7.100000000000000000e+01,1.272185969691300933e+01
7.150000000000000000e+01,1.249030491759162231e+01
7.200000000000000000e+01,1.226296485981465878e+01
7.250000000000000000e+01,1.203976257731901534e+01
7.300000000000000000e+01,1.182062298561108094e+01
7.350000000000000000e+01,1.160547191398445044e+01
7.400000000000000000e+01,1.139423698634563742e+01
7.450000000000000000e+01,1.118684670742682030e+01
7.500000000000000000e+01,1.098323131183895640e+01
7.550000000000000000e+01,1.078332188324607976e+01
7.600000000000000000e+01,1.058705117279192187e+01
7.650000000000000000e+01,1.039435275004678338e+01
7.700000000000000000e+01,1.020516179191239914e+01
7.750000000000000000e+01,1.001941426419530501e+01
7.800000000000000000e+01,9.837047682054835818e+00
7.850000000000000000e+01,9.658000321098253238e+00
7.900000000000000000e+01,9.482211950398349742e+00
7.950000000000000000e+01,9.309623072045456027e+00
8.000000000000000000e+01,9.140175627724083540e+00
8.050000000000000000e+01,8.973812265695341850e+00
8.100000000000000000e+01,8.810477021886404358e+00
8.150000000000000000e+01,8.650114613313851564e+00
8.200000000000000000e+01,8.492671094605316995e+00
8.250000000000000000e+01,8.338093176910025051e+00
8.300000000000000000e+01,8.186328860738797175e+00
8.350000000000000000e+01,8.037326779442407698e+00
8.400000000000000000e+01,7.891036809224202919e+00
8.450000000000000000e+01,7.747409436300083385e+00
8.500000000000000000e+01,7.606396344907125240e+00
8.550000000000000000e+01,7.467949807290979791e+00
8.600000000000000000e+01,7.332023250504218659e+00
8.650000000000000000e+01,7.198570668397709760e+00
8.700000000000000000e+01,7.067547167973777356e+00
8.750000000000000000e+01,6.938908402587864899e+00
8.800000000000000000e+01,6.812611098593980508e+00
8.850000000000000000e+01,6.688612508991538697e+00
