x,suppression_factor
0.000000000000000000e+00,1.789953109268094922e+00
5.000000000000000000e-01,1.808865205928764430e+00
1.000000000000000000e+00,1.826051434322549794e+00
1.500000000000000000e+00,1.841463914873574081e+00
2.000000000000000000e+00,1.855063077958843287e+00
2.500000000000000000e+00,1.866817992254718561e+00
3.000000000000000000e+00,1.876706642814730319e+00
3.500000000000000000e+00,1.884716172988018412e+00
4.000000000000000000e+00,1.890843072880100451e+00
4.500000000000000000e+00,1.895093321777530315e+00
5.000000000000000000e+00,1.897482482210234744e+00
5.500000000000000000e+00,1.898035745433688692e+00
6.000000000000000000e+00,1.896787928417067448e+00
6.500000000000000000e+00,1.893783422681234230e+00
7.000000000000000000e+00,1.889076095528709143e+00
7.500000000000000000e+00,1.882729144333892934e+00
8.000000000000000000e+00,1.874814904603337107e+00
8.500000000000000000e+00,1.865414612461144150e+00
9.000000000000000000e+00,1.854618122053586005e+00
9.500000000000000000e+00,1.842523578092370995e+00
1.000000000000000000e+01,1.829237043364086768e+00
1.050000000000000000e+01,1.814872080526543252e+00
1.100000000000000000e+01,1.799549286901229284e+00
1.150000000000000000e+01,1.783395780275824016e+00
1.200000000000000000e+01,1.766544632986093655e+00
1.250000000000000000e+01,1.749134250803987545e+00
1.300000000000000000e+01,1.731307692489535199e+00
1.350000000000000000e+01,1.713211925361542765e+00
1.400000000000000000e+01,1.694997012022525062e+00
1.450000000000000000e+01,1.676815223574132707e+00
1.500000000000000000e+01,1.658820075433659280e+00
1.550000000000000000e+01,1.641165283367765015e+00
1.600000000000000000e+01,1.624003639741871785e+00
1.650000000000000000e+01,1.607485813352312221e+00
1.700000000000000000e+01,1.591759080606863996e+00
1.750000000000000000e+01,1.576966001192239286e+00
1.800000000000000000e+01,1.563243057527211155e+00
1.850000000000000000e+01,1.550719284810014642e+00
1.900000000000000000e+01,1.539514919612981148e+00
1.950000000000000000e+01,1.529740114200355716e+00
2.000000000000000000e+01,1.521493750411046841e+00
2.050000000000000000e+01,1.514862402255062968e+00
2.100000000000000000e+01,1.509919490451632429e+00
2.150000000000000000e+01,1.506724668975059522e+00
2.200000000000000000e+01,1.505323476248520365e+00
2.250000000000000000e+01,1.505747273095098926e+00
2.300000000000000000e+01,1.508013476631940630e+00
2.350000000000000000e+01,1.512126085037484025e+00
2.400000000000000000e+01,1.518076473808713356e+00
2.450000000000000000e+01,1.525844431068688500e+00
2.500000000000000000e+01,1.535399388047341995e+00
2.550000000000000000e+01,1.546701798816325191e+00
2.600000000000000000e+01,1.559704604642187187e+00
2.650000000000000000e+01,1.574354741950020342e+00
2.700000000000000000e+01,1.590594634392733742e+00
2.750000000000000000e+01,1.608363627685199360e+00
2.800000000000000000e+01,1.627599330073005612e+00
2.850000000000000000e+01,1.648238829499380165e+00
2.900000000000000000e+01,1.670219774281160641e+00
2.950000000000000000e+01,1.693481294865820219e+00
3.000000000000000000e+01,1.717964776279751193e+00
3.050000000000000000e+01,1.743614477800434770e+00
3.100000000000000000e+01,1.770378009285419552e+00
3.150000000000000000e+01,1.798206675647474162e+00
3.200000000000000000e+01,1.827055703201485803e+00
3.250000000000000000e+01,1.856884321459651987e+00
3.300000000000000000e+01,1.889761383952180740e+00
3.350000000000000000e+01,1.923724104440094340e+00
3.400000000000000000e+01,1.958297185233005333e+00
3.450000000000000000e+01,1.993491628562798157e+00
3.500000000000000000e+01,2.029318568078302132e+00
3.550000000000000000e+01,2.065789405028328751e+00
3.600000000000000000e+01,2.102915676844718362e+00
3.650000000000000000e+01,2.140709198264317603e+00
3.700000000000000000e+01,2.179181925145941001e+00
3.750000000000000000e+01,2.218346100710403057e+00
3.800000000000000000e+01,2.258214114418544582e+00
3.850000000000000000e+01,2.298798653514935619e+00
3.900000000000000000e+01,2.340112556787846909e+00
3.950000000000000000e+01,2.382168971608975561e+00
4.000000000000000000e+01,2.424981202389736357e+00
4.050000000000000000e+01,2.468562873316340056e+00
4.100000000000000000e+01,2.512927771310059732e+00
4.150000000000000000e+01,2.558090014664207601e+00
4.200000000000000000e+01,2.604063890309054941e+00
4.250000000000000000e+01,2.650864028564750008e+00
4.300000000000000000e+01,2.698505234504342543e+00
4.350000000000000000e+01,2.747002669044449341e+00
4.400000000000000000e+01,2.796371674192335455e+00
4.450000000000000000e+01,2.846627960704176008e+00
4.500000000000000000e+01,2.897787426994394178e+00
4.550000000000000000e+01,2.949866353599707836e+00
4.600000000000000000e+01,3.002881215520862845e+00
4.650000000000000000e+01,3.056848883739297751e+00
4.700000000000000000e+01,3.111786430753086918e+00
4.750000000000000000e+01,3.167711339401989346e+00
4.800000000000000000e+01,3.224641301350790190e+00
4.850000000000000000e+01,3.282594433487778129e+00
4.900000000000000000e+01,3.341589069099708986e+00
4.950000000000000000e+01,3.401643982118384368e+00
5.000000000000000000e+01,3.462778170722173865e+00
5.050000000000000000e+01,3.525011089715327728e+00
5.100000000000000000e+01,3.588362426281391571e+00
5.150000000000000000e+01,3.652852340790201158e+00
5.200000000000000000e+01,3.718501234418567947e+00
5.250000000000000000e+01,3.785329998690594167e+00
5.300000000000000000e+01,3.853359774670683802e+00
5.350000000000000000e+01,3.922612211553912154e+00
5.400000000000000000e+01,3.993109217125708099e+00
5.450000000000000000e+01,4.064873225730501360e+00
5.500000000000000000e+01,4.137926939681351612e+00
5.550000000000000000e+01,4.212293606946977853e+00
5.600000000000000000e+01,4.287996753183131560e+00
5.650000000000000000e+01,4.365060469490461337e+00
5.700000000000000000e+01,4.443509134727496424e+00
5.750000000000000000e+01,4.523367713704607773e+00
5.800000000000000000e+01,4.604661469426127418e+00
5.850000000000000000e+01,4.687416272098897885e+00
5.900000000000000000e+01,4.771658300938290687e+00
5.950000000000000000e+01,4.857414364383548566e+00
6.000000000000000000e+01,4.944711591089222757e+00
6.050000000000000000e+01,5.033577761753741164e+00
6.100000000000000000e+01,5.124040988904060789e+00
6.150000000000000000e+01,5.216130060758628062e+00
6.200000000000000000e+01,5.309874109398817765e+00
6.250000000000000000e+01,5.405302967102730172e+00
6.300000000000000000e+01,5.502446822482238709e+00
6.350000000000000000e+01,5.601336589739912775e+00
6.400000000000000000e+01,5.702003552335221492e+00
6.450000000000000000e+01,5.804479745633259746e+00
6.500000000000000000e+01,5.908797587647824479e+00
6.550000000000000000e+01,6.014990275567635436e+00
6.600000000000000000e+01,6.123091403107593145e+00
6.650000000000000000e+01,6.233135371415790438e+00
6.700000000000000000e+01,6.345156992547282826e+00
6.750000000000000000e+01,6.459191915273412299e+00
6.800000000000000000e+01,6.575276214174818001e+00
6.850000000000000000e+01,6.693446830893536870e+00
6.900000000000000000e+01,6.813741148323678054e+00
6.950000000000000000e+01,6.936197447866399024e+00
7.000000000000000000e+01,7.060854468177770293e+00
7.050000000000000000e+01,7.187751879006981426e+00
7.100000000000000000e+01,7.316929823941362265e+00
7.150000000000000000e+01,7.448429411429221325e+00
7.200000000000000000e+01,7.582292240941659323e+00
7.250000000000000000e+01,7.718560911803280966e+00
7.300000000000000000e+01,7.857278532169347685e+00
7.350000000000000000e+01,7.998489246310231948e+00
7.400000000000000000e+01,8.142237725780677948e+00
7.450000000000000000e+01,8.288569715827224016e+00
7.500000000000000000e+01,8.437531508103756295e+00
7.550000000000000000e+01,8.589170506895438706e+00
7.600000000000000000e+01,8.743534682711290529e+00
7.650000000000000000e+01,8.900673159043289928e+00
7.700000000000000000e+01,9.060635646142477739e+00
7.750000000000000000e+01,9.223473049057972162e+00
7.800000000000000000e+01,9.389236880877882996e+00
7.850000000000000000e+01,9.557979892820034351e+00
7.900000000000000000e+01,9.729755466192946400e+00
7.950000000000000000e+01,9.904618265337974847e+00
8.000000000000000000e+01,1.008262360753860776e+01
8.050000000000000000e+01,1.026382813964282370e+01
8.100000000000000000e+01,1.044828918512091320e+01
8.150000000000000000e+01,1.063606544522684416e+01
8.200000000000000000e+01,1.082721632237590548e+01
8.250000000000000000e+01,1.102180264673500609e+01
8.300000000000000000e+01,1.121988597506133978e+01
8.350000000000000000e+01,1.142152934364385430e+01
8.400000000000000000e+01,1.162679654171295063e+01
8.450000000000000000e+01,1.183575289168884126e+01
8.500000000000000000e+01,1.204846449624004556e+01
8.550000000000000000e+01,1.226499904682894737e+01
8.600000000000000000e+01,1.248542504346343129e+01
8.650000000000000000e+01,1.270981263256588889e+01
8.700000000000000000e+01,1.293823279842763618e+01
8.750000000000000000e+01,1.317075823146488922e+01
8.800000000000000000e+01,1.340746249034969395e+01
8.850000000000000000e+01,1.364842090175485190e+01
8.900000000000000000e+01,1.389370969209797835e+01
8.950000000000000000e+01,1.414340691991733578e+01
9.000000000000000000e+01,1.439759157612698104e+01
9.050000000000000000e+01,1.465634455020697047e+01
9.100000000000000000e+01,1.491974769782751764e+01
9.150000000000000000e+01,1.518788484207997591e+01
9.200000000000000000e+01,1.546084080728658172e+01
9.250000000000000000e+01,1.573870245654297584e+01
9.300000000000000000e+01,1.602155769048724565e+01
9.350000000000000000e+01,1.630949652247089787e+01
9.400000000000000000e+01,1.660261004101632309e+01
9.450000000000000000e+01,1.690099152398090965e+01
9.500000000000000000e+01,1.720473536338607090e+01
9.550000000000000000e+01,1.751393821998862066e+01
9.600000000000000000e+01,1.782869790911668062e+01
9.650000000000000000e+01,1.814911459711377972e+01
9.700000000000000000e+01,1.847528964676750007e+01
9.750000000000000000e+01,1.880732685714489705e+01
9.800000000000000000e+01,1.914533126714837863e+01
9.850000000000000000e+01,1.948941044031616343e+01
9.900000000000000000e+01,1.983967322498681440e+01
9.950000000000000000e+01,2.019623108569544101e+01
1.000000000000000000e+02,2.055919681837324120e+01
1.005000000000000000e+02,2.092868593002929956e+01
1.010000000000000000e+02,2.130481530735440998e+01
1.015000000000000000e+02,2.168770464643967344e+01
1.020000000000000000e+02,2.207747507309467494e+01
1.025000000000000000e+02,2.247425062441759280e+01
1.030000000000000000e+02,2.287815681907655829e+01
1.035000000000000000e+02,2.328932219261168157e+01
1.040000000000000000e+02,2.370787681586502416e+01
1.045000000000000000e+02,2.413395388596324409e+01
1.050000000000000000e+02,2.456768819101559842e+01
1.055000000000000000e+02,2.500921775879661979e+01
1.060000000000000000e+02,2.545868226576344995e+01
1.065000000000000000e+02,2.591622474553115651e+01
1.070000000000000000e+02,2.638198994019001020e+01
1.075000000000000000e+02,2.685612607074198266e+01
1.080000000000000000e+02,2.733878312862534088e+01
1.085000000000000000e+02,2.783011471035940687e+01
1.090000000000000000e+02,2.833027624710808823e+01
1.095000000000000000e+02,2.883942690586144408e+01
1.100000000000000000e+02,2.935772775479101071e+01
1.105000000000000000e+02,2.988534373338138650e+01
1.110000000000000000e+02,3.042244175124857364e+01
1.115000000000000000e+02,3.096919272972217030e+01
1.120000000000000000e+02,3.152576963171382118e+01
1.125000000000000000e+02,3.209234957734114602e+01
1.130000000000000000e+02,3.266911180234568945e+01
1.135000000000000000e+02,3.325623985044401820e+01
1.140000000000000000e+02,3.385391945770374633e+01
1.145000000000000000e+02,3.446234082440442137e+01
1.150000000000000000e+02,3.508169642268639166e+01
1.155000000000000000e+02,3.571218335080519068e+01
1.160000000000000000e+02,3.635400106127048048e+01
1.165000000000000000e+02,3.700735380048195822e+01
1.170000000000000000e+02,3.767244825447502876e+01
1.175000000000000000e+02,3.834949607703466512e+01
1.180000000000000000e+02,3.903871145005960130e+01
1.185000000000000000e+02,3.974031370336304292e+01
1.190000000000000000e+02,4.045452478655881379e+01
1.195000000000000000e+02,4.118157198387419982e+01
1.200000000000000000e+02,4.192168529434911761e+01
1.205000000000000000e+02,4.267510024510687572e+01
1.210000000000000000e+02,4.344205517654132365e+01
1.215000000000000000e+02,4.422279415761615695e+01
1.220000000000000000e+02,4.501756417259421994e+01
1.225000000000000000e+02,4.582661814206576167e+01
1.230000000000000000e+02,4.665021200764901010e+01
1.235000000000000000e+02,4.748860786258186550e+01
1.240000000000000000e+02,4.834207093069358052e+01
1.245000000000000000e+02,4.921087281053321760e+01
1.250000000000000000e+02,5.009528834477815451e+01
1.255000000000000000e+02,5.099559898201687957e+01
1.260000000000000000e+02,5.191208953262069770e+01
1.265000000000000000e+02,5.284505165244806335e+01
1.270000000000000000e+02,5.379478048106165744e+01
1.275000000000000000e+02,5.476157825177595839e+01
1.280000000000000000e+02,5.574575080795288784e+01
1.285000000000000000e+02,5.674761134397454754e+01
1.290000000000000000e+02,5.776747679519576195e+01
1.295000000000000000e+02,5.880567171459036047e+01
1.300000000000000000e+02,5.986252453177834099e+01
1.305000000000000000e+02,6.093837157026619167e+01
1.310000000000000000e+02,6.203355317080053766e+01
1.315000000000000000e+02,6.314841785430140675e+01
1.320000000000000000e+02,6.428331830462180108e+01
1.325000000000000000e+02,6.543861568245765170e+01
1.330000000000000000e+02,6.661467546241469506e+01
1.335000000000000000e+02,6.781187190337038828e+01
1.340000000000000000e+02,6.903058373456414643e+01
1.345000000000000000e+02,7.027119878808555598e+01
1.350000000000000000e+02,7.153410952851226057e+01
1.355000000000000000e+02,7.281971785340441272e+01
1.360000000000000000e+02,7.412843046081620457e+01
1.365000000000000000e+02,7.546066382388937654e+01
1.370000000000000000e+02,7.681683939035883668e+01
1.375000000000000000e+02,7.819738873755922270e+01
1.380000000000000000e+02,7.960274859783149282e+01
1.385000000000000000e+02,8.103336620048550287e+01
1.390000000000000000e+02,8.248969411679358643e+01
1.395000000000000000e+02,8.397219579568970005e+01
1.400000000000000000e+02,8.548134022180659031e+01
1.405000000000000000e+02,8.701760765193782277e+01
1.410000000000000000e+02,8.858148407933846613e+01
1.415000000000000000e+02,9.017346717823070890e+01
1.420000000000000000e+02,9.179406056734210040e+01
1.425000000000000000e+02,9.344377996999983793e+01
1.430000000000000000e+02,9.512314726962519273e+01
1.435000000000000000e+02,9.683269689323562091e+01
1.440000000000000000e+02,9.857296965135007838e+01
1.445000000000000000e+02,1.003445193530012318e+02
1.450000000000000000e+02,1.021479064222332056e+02
1.455000000000000000e+02,1.039837047530194809e+02
1.460000000000000000e+02,1.058524950942512248e+02
1.465000000000000000e+02,1.077548721532616014e+02
1.470000000000000000e+02,1.096914377409079719e+02
1.475000000000000000e+02,1.116628081327193343e+02
1.480000000000000000e+02,1.136696069653717842e+02
1.485000000000000000e+02,1.157124728648019953e+02
1.490000000000000000e+02,1.177920520850595807e+02
1.495000000000000000e+02,1.199090064130690365e+02
1.500000000000000000e+02,1.220640055405157511e+02
1.505000000000000000e+02,1.242577352552894183e+02
1.510000000000000000e+02,1.264908895367218378e+02
1.515000000000000000e+02,1.287641790441086016e+02
1.520000000000000000e+02,1.310783229252658941e+02
1.525000000000000000e+02,1.334340576129040414e+02
1.530000000000000000e+02,1.358321283361065923e+02
1.535000000000000000e+02,1.382732982357209437e+02
1.540000000000000000e+02,1.407583395679847342e+02
1.545000000000000000e+02,1.432880431505039383e+02
1.550000000000000000e+02,1.458632092468617714e+02
1.555000000000000000e+02,1.484846573551730842e+02
1.560000000000000000e+02,1.511532167621064389e+02
1.565000000000000000e+02,1.538697366864390119e+02
1.570000000000000000e+02,1.566350764905022857e+02
1.575000000000000000e+02,1.594501161916122385e+02
1.580000000000000000e+02,1.623157463185144991e+02
1.585000000000000000e+02,1.652328788040316851e+02
1.590000000000000000e+02,1.682024364736329574e+02
1.595000000000000000e+02,1.712253643331243609e+02
1.600000000000000000e+02,1.743026186760009466e+02
1.605000000000000000e+02,1.774351787805068170e+02
1.610000000000000000e+02,1.806240356219448131e+02
1.615000000000000000e+02,1.838702039939525150e+02
1.620000000000000000e+02,1.871747108114423668e+02
1.625000000000000000e+02,1.905386076714788999e+02
1.630000000000000000e+02,1.939629587320027895e+02
1.635000000000000000e+02,1.974488537282518905e+02
1.640000000000000000e+02,2.009973954118844688e+02
1.645000000000000000e+02,2.046097130394655608e+02
1.650000000000000000e+02,2.082869493560456817e+02
1.655000000000000000e+02,2.120302745728332638e+02
1.660000000000000000e+02,2.158408728787078701e+02
1.665000000000000000e+02,2.197199569248195701e+02
1.670000000000000000e+02,2.236687538469164451e+02
1.675000000000000000e+02,2.276885202752555983e+02
