x, o_total, cc
0.000000000000000000e+00,8.497125451258596973e-01,8.504110118116249284e-01
5.000000000000000000e-01,8.466121662006377280e-01,8.484468025006868253e-01
1.000000000000000000e+00,8.412582695116824771e-01,8.442181344487992289e-01
1.500000000000000000e+00,8.336885353527653253e-01,8.377543065058110638e-01
2.000000000000000000e+00,8.239588344976817025e-01,8.291017219209736444e-01
2.500000000000000000e+00,8.121424628285298652e-01,8.183249781202629469e-01
3.000000000000000000e+00,7.983291438393513850e-01,8.055054662860553494e-01
3.500000000000000000e+00,7.826238179961834129e-01,7.907405617460983027e-01
4.000000000000000000e+00,7.651452417902450120e-01,7.741419596717327156e-01
4.500000000000000000e+00,7.460244226231059761e-01,7.558346453020212685e-01
5.000000000000000000e+00,7.254029183384013146e-01,7.359547658522267444e-01
5.500000000000000000e+00,7.034310322092706125e-01,7.146482261538577019e-01
6.000000000000000000e+00,6.802659354692892624e-01,6.920687326336636414e-01
6.500000000000000000e+00,6.560697500225198819e-01,6.683760293764823279e-01
7.000000000000000000e+00,6.310076237910599017e-01,6.437336746458541814e-01
7.500000000000000000e+00,6.052458302811877244e-01,6.183074162476965840e-01
8.000000000000000000e+00,5.789499224154165402e-01,5.922632291153244743e-01
8.500000000000000000e+00,5.522829685471167815e-01,5.657654991263522115e-01
9.000000000000000000e+00,5.254038959207897319e-01,5.389753134880559404e-01
9.500000000000000000e+00,4.984659637496679507e-01,5.120488720726367182e-01
1.000000000000000000e+01,4.716153846465900301e-01,4.851360356464499146e-01
1.050000000000000000e+01,4.449901094627930487e-01,4.583790275775441181e-01
1.100000000000000000e+01,4.187187867631368965e-01,4.319113032401989960e-01
1.150000000000000000e+01,3.929199042951365128e-01,4.058565972725277082e-01
1.200000000000000000e+01,3.677011159888303737e-01,3.803281544782955992e-01
1.250000000000000000e+01,3.431587543443208599e-01,3.554281461198096626e-01
1.300000000000000000e+01,3.193775246042633853e-01,3.312472697222555440e-01
1.350000000000000000e+01,2.964303739395046100e-01,3.078645272414595180e-01
1.400000000000000000e+01,2.743785260552589755e-01,2.853471735018356381e-01
1.450000000000000000e+01,2.532716691974101209e-01,2.637508242072649223e-01
1.500000000000000000e+01,2.331482835350569549e-01,2.431197106069759861e-01
1.550000000000000000e+01,2.140360923341231292e-01,2.234870660989956292e-01
1.600000000000000000e+01,1.959526202225474190e-01,2.048756286961145034e-01
1.650000000000000000e+01,1.789058411728824682e-01,1.872982423659950157e-01
1.700000000000000000e+01,1.628948985746040967e-01,1.707585397754939616e-01
1.750000000000000000e+01,1.479108799079718872e-01,1.552516888956763930e-01
