x, screening_profile, B_max, B_min
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
5.000000000000000000e-01,9.961752846051655297e+01,9.931458790079214793e+01,9.817986736090780653e+01
1.000000000000000000e+00,9.923815924977198222e+01,9.863387369904171464e+01,9.639286355005448570e+01
1.500000000000000000e+00,9.886102122223073252e+01,9.795782519479109851e+01,9.463838557882434088e+01
2.000000000000000000e+00,9.848527623932625374e+01,9.728641040878511603e+01,9.291584143379422756e+01
2.500000000000000000e+00,9.811009767275484705e+01,9.661959758095829898e+01,9.122464987697058802e+01
3.000000000000000000e+00,9.773466670684007340e+01,9.595735516893249439e+01,8.956424024966226227e+01
3.500000000000000000e+00,9.735816838724622357e+01,9.529965184652478172e+01,8.793405227992320761e+01
4.000000000000000000e+00,9.697978772051344265e+01,9.464645650226573537e+01,8.633353589349992774e+01
4.500000000000000000e+00,9.659870591442644638e+01,9.399773823792772021e+01,8.476215102821994662e+01
5.000000000000000000e+00,9.621409675902958725e+01,9.335346636706324830e+01,8.321936745175869987e+01
5.500000000000000000e+00,9.582512317294626314e+01,9.271361041355345378e+01,8.170466458272316856e+01
6.000000000000000000e+00,9.543093393431438187e+01,9.207814011016654376e+01,8.021753131499221467e+01
6.500000000000000000e+00,9.503066062495150845e+01,9.144702539712591260e+01,7.875746584525403193e+01
7.000000000000000000e+00,9.462341482648436397e+01,9.082023642068833169e+01,7.732397550368266081e+01
7.500000000000000000e+00,9.420828561917296895e+01,9.019774353173175996e+01,7.591657658769648265e+01
8.000000000000000000e+00,9.378433744796225824e+01,8.957951728435281780e+01,7.453479419874238943e+01
8.500000000000000000e+00,9.335060843586730073e+01,8.896552843447386749e+01,7.317816208205087491e+01
9.000000000000000000e+00,9.290610924204351306e+01,8.835574793845979968e+01,7.184622246930767631e+01
9.500000000000000000e+00,9.244982258057726199e+01,8.775014695174400003e+01,7.053852592418901679e+01
1.000000000000000000e+01,9.198070353572491342e+01,8.714869682746407875e+01,6.925463119070833784e+01
1.050000000000000000e+01,9.149768082932099844e+01,8.655136911510668085e+01,6.799410504432333369e+01
1.100000000000000000e+01,9.099965921530912283e+01,8.595813555916168980e+01,6.675652214575296739e+01
1.150000000000000000e+01,9.048552319331830063e+01,8.536896809778571082e+01,6.554146489745529891e+01
1.200000000000000000e+01,8.995414224588581931e+01,8.478383886147460657e+01,6.434852330271755250e+01
1.250000000000000000e+01,8.940437780970357551e+01,8.420272017174517032e+01,6.317729482731094492e+01
1.300000000000000000e+01,8.883509218692117315e+01,8.362558453982590834e+01,6.202738426366355640e+01
1.350000000000000000e+01,8.824515958429910256e+01,8.305240466535664723e+01,6.089840359750547094e+01
1.400000000000000000e+01,8.763347943169883081e+01,8.248315343509723618e+01,5.978997187694117343e+01
1.450000000000000000e+01,8.699899207275669255e+01,8.191780392164490365e+01,5.870171508390491510e+01
1.500000000000000000e+01,8.634069683575444287e+01,8.135632938216059529e+01,5.763326600795585364e+01
1.550000000000000000e+01,8.565767237891583363e+01,8.079870325710388101e+01,5.658426412237022163e+01
1.600000000000000000e+01,8.494909906088510354e+01,8.024489916897664443e+01,5.555435546248882162e+01
1.650000000000000000e+01,8.421428291630670060e+01,7.969489092107534134e+01,5.454319250627877125e+01
1.700000000000000000e+01,8.345268062468257142e+01,7.914865249625179899e+01,5.355043405706909709e+01
1.750000000000000000e+01,8.266392465948038648e+01,7.860615805568251346e+01,5.257574512842083436e+01
1.800000000000000000e+01,8.184784761061497704e+01,7.806738193764641665e+01,5.161879683109251715e+01
1.850000000000000000e+01,8.100450451821291153e+01,7.753229865631099926e+01,5.067926626206310203e+01
1.900000000000000000e+01,8.013419188776991575e+01,7.700088290052666196e+01,4.975683639557485805e+01
1.950000000000000000e+01,7.923746216774422635e+01,7.647310953262959288e+01,4.885119597615928910e+01
2.000000000000000000e+01,7.831513235355687641e+01,7.594895358725247547e+01,4.796203941361032719e+01
