x,screening_profile_corrected
0.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e-01,9.963211608493899973e+01
1.000000000000000000e+00,9.926711469234821550e+01
1.500000000000000000e+00,9.890415759257976447e+01
2.000000000000000000e+00,9.854243759438590189e+01
2.500000000000000000e+00,9.818115786125886757e+01
3.000000000000000000e+00,9.781952834346641623e+01
3.500000000000000000e+00,9.745676195230821293e+01
4.000000000000000000e+00,9.709207079079570235e+01
4.500000000000000000e+00,9.672466249974506525e+01
5.000000000000000000e+00,9.635373673944165773e+01
5.500000000000000000e+00,9.597848182261479622e+01
6.000000000000000000e+00,9.559807151874105102e+01
6.500000000000000000e+00,9.521166205739423560e+01
7.000000000000000000e+00,9.481838936821364427e+01
7.500000000000000000e+00,9.441736660676347981e+01
8.000000000000000000e+00,9.400768202904363591e+01
8.500000000000000000e+00,9.358839729266593110e+01
9.000000000000000000e+00,9.315854627963700807e+01
9.500000000000000000e+00,9.271713455408007576e+01
1.000000000000000000e+01,9.226313958766991163e+01
1.050000000000000000e+01,9.179551190537632976e+01
1.100000000000000000e+01,9.131317732328676584e+01
1.150000000000000000e+01,9.081504046735530267e+01
1.200000000000000000e+01,9.029998977493556822e+01
1.250000000000000000e+01,8.976690418735240939e+01
1.300000000000000000e+01,8.921466173840781266e+01
1.350000000000000000e+01,8.864215022689680268e+01
1.400000000000000000e+01,8.804828012681996086e+01
1.450000000000000000e+01,8.743199983280044307e+01
1.500000000000000000e+01,8.679231325638505723e+01
1.550000000000000000e+01,8.612829967863203251e+01
1.600000000000000000e+01,8.543913562479043833e+01
1.650000000000000000e+01,8.472411836006949670e+01
1.700000000000000000e+01,8.398269041760777043e+01
1.750000000000000000e+01,8.321446437180249234e+01
1.800000000000000000e+01,8.241924687844590380e+01
1.850000000000000000e+01,8.159706084823208982e+01
1.900000000000000000e+01,8.074816445156479006e+01
1.950000000000000000e+01,7.987306575708544187e+01
2.000000000000000000e+01,7.897253168519966948e+01
2.050000000000000000e+01,7.804759027247946790e+01
2.100000000000000000e+01,7.709952548060347510e+01
2.150000000000000000e+01,7.612986418686358547e+01
2.200000000000000000e+01,7.514035546038607549e+01
2.250000000000000000e+01,7.413294272495313919e+01
2.300000000000000000e+01,7.310972988405912076e+01
2.350000000000000000e+01,7.207294288419402051e+01
2.400000000000000000e+01,7.102488847364386970e+01
2.450000000000000000e+01,6.996791204683745491e+01
2.500000000000000000e+01,6.890435643871794014e+01
2.550000000000000000e+01,6.783652336103068592e+01
2.600000000000000000e+01,6.676663888220068088e+01
2.650000000000000000e+01,6.569682397948976416e+01
2.700000000000000000e+01,6.462907079607363414e+01
2.750000000000000000e+01,6.356522483711253102e+01
2.800000000000000000e+01,6.250697299165827303e+01
2.850000000000000000e+01,6.145583699522347843e+01
2.900000000000000000e+01,6.041317167138858935e+01
2.950000000000000000e+01,5.938016734740042324e+01
3.000000000000000000e+01,5.835785553310689266e+01
3.050000000000000000e+01,5.734711714948406325e+01
3.100000000000000000e+01,5.634869256264073556e+01
