x,current_density
0.000000000000000000e+00,1.216405990973528595e+11
5.000000000000000000e-01,1.203919349050683594e+11
1.000000000000000000e+00,1.192210698699256897e+11
1.500000000000000000e+00,1.181117363293441925e+11
2.000000000000000000e+00,1.170560342082597809e+11
2.500000000000000000e+00,1.160491038589349060e+11
3.000000000000000000e+00,1.150876134101894379e+11
3.500000000000000000e+00,1.141691212254684906e+11
4.000000000000000000e+00,1.132917452325395508e+11
4.500000000000000000e+00,1.124539693341877899e+11
5.000000000000000000e+00,1.116545215147854004e+11
5.500000000000000000e+00,1.108922940875850372e+11
6.000000000000000000e+00,1.101662906614426270e+11
6.500000000000000000e+00,1.094755908086606293e+11
7.000000000000000000e+00,1.088193266717174072e+11
7.500000000000000000e+00,1.081966676150149689e+11
8.000000000000000000e+00,1.076068102236942596e+11
8.500000000000000000e+00,1.070489717782109222e+11
9.000000000000000000e+00,1.065223859260916290e+11
9.500000000000000000e+00,1.060262996986010437e+11
1.000000000000000000e+01,1.055599713212839508e+11
1.050000000000000000e+01,1.051226684738082275e+11
1.100000000000000000e+01,1.047136667911780548e+11
1.150000000000000000e+01,1.043322484853850098e+11
1.200000000000000000e+01,1.039777010199405975e+11
1.250000000000000000e+01,1.036493158012426300e+11
1.300000000000000000e+01,1.033463868687020569e+11
1.350000000000000000e+01,1.030682095755426025e+11
1.400000000000000000e+01,1.028140792575240021e+11
1.450000000000000000e+01,1.025832898898004303e+11
1.500000000000000000e+01,1.023751327336705017e+11
1.550000000000000000e+01,1.021888949760153656e+11
1.600000000000000000e+01,1.020238583648360291e+11
1.650000000000000000e+01,1.018792978449035339e+11
1.700000000000000000e+01,1.017544801980470428e+11
1.750000000000000000e+01,1.016486626931453857e+11
1.800000000000000000e+01,1.015610917514328461e+11
1.850000000000000000e+01,1.014910016333426361e+11
1.900000000000000000e+01,1.014376131537061310e+11
1.950000000000000000e+01,1.014001324327912292e+11
2.000000000000000000e+01,1.013777496913178711e+11
2.050000000000000000e+01,1.013696380982845459e+11
2.100000000000000000e+01,1.013749526811313934e+11
2.150000000000000000e+01,1.013928293084575653e+11
2.200000000000000000e+01,1.014223837561995850e+11
2.250000000000000000e+01,1.014627108688437195e+11
2.300000000000000000e+01,1.015128838278629761e+11
2.350000000000000000e+01,1.015719535401539764e+11
2.400000000000000000e+01,1.016389481597570648e+11
2.450000000000000000e+01,1.017128727565690002e+11
2.500000000000000000e+01,1.017927091460659790e+11
2.550000000000000000e+01,1.018774158942722473e+11
2.600000000000000000e+01,1.019659285122234650e+11
2.650000000000000000e+01,1.020571598540876007e+11
2.700000000000000000e+01,1.021500007327562408e+11
2.750000000000000000e+01,1.022433207662193298e+11
2.800000000000000000e+01,1.023359694672541809e+11
2.850000000000000000e+01,1.024267775879373932e+11
2.900000000000000000e+01,1.025145587292103729e+11
2.950000000000000000e+01,1.025981112241181335e+11
3.000000000000000000e+01,1.026762203014802551e+11
3.050000000000000000e+01,1.027476605345391693e+11
3.100000000000000000e+01,1.028111985766448822e+11
3.150000000000000000e+01,1.028655961832120361e+11
3.200000000000000000e+01,1.029096135161083374e+11
3.250000000000000000e+01,1.029420127232365723e+11
3.300000000000000000e+01,1.029615617824942932e+11
3.350000000000000000e+01,1.029670385954395905e+11
3.400000000000000000e+01,1.029572353120528107e+11
3.450000000000000000e+01,1.029309628638821869e+11
3.500000000000000000e+01,1.028870556787612610e+11
3.550000000000000000e+01,1.028243765462039032e+11
3.600000000000000000e+01,1.027418215986203308e+11
3.650000000000000000e+01,1.026383253697495880e+11
3.700000000000000000e+01,1.025128658882236023e+11
3.750000000000000000e+01,1.023644697611103821e+11
3.800000000000000000e+01,1.021922171996700287e+11
3.850000000000000000e+01,1.019952469375158997e+11
3.900000000000000000e+01,1.017727609899801483e+11
3.950000000000000000e+01,1.015240292027966309e+11
4.000000000000000000e+01,1.012483935383210297e+11
4.050000000000000000e+01,1.009452720484256439e+11
4.100000000000000000e+01,1.006141624849970551e+11
4.150000000000000000e+01,1.002546455016000214e+11
4.200000000000000000e+01,9.986638740337821960e+10
4.250000000000000000e+01,9.944914240658404541e+10
4.300000000000000000e+01,9.900275437422164917e+10
4.350000000000000000e+01,9.852715800007855225e+10
4.400000000000000000e+01,9.802237941980168152e+10
4.450000000000000000e+01,9.748853623455178833e+10
4.500000000000000000e+01,9.692583693999845886e+10
4.550000000000000000e+01,9.633457976086756897e+10
4.600000000000000000e+01,9.571515089877284241e+10
4.650000000000000000e+01,9.506802220850360107e+10
4.700000000000000000e+01,9.439374832514048767e+10
4.750000000000000000e+01,9.369296327121629333e+10
4.800000000000000000e+01,9.296637657943437195e+10
4.850000000000000000e+01,9.221476897216157532e+10
4.900000000000000000e+01,9.143898764383763123e+10
4.950000000000000000e+01,9.063994119656884766e+10
5.000000000000000000e+01,8.981859428239483643e+10
5.050000000000000000e+01,8.897596200801708984e+10
5.100000000000000000e+01,8.811310415912539673e+10
5.150000000000000000e+01,8.723111930187007141e+10
5.200000000000000000e+01,8.633113881852124023e+10
5.250000000000000000e+01,8.541432093299610901e+10
5.300000000000000000e+01,8.448184477976716614e+10
5.350000000000000000e+01,8.353490456679194641e+10
5.400000000000000000e+01,8.257470387960328674e+10
5.450000000000000000e+01,8.160245016968402100e+10
5.500000000000000000e+01,8.061934946581777954e+10
5.550000000000000000e+01,7.962660134237742615e+10
5.600000000000000000e+01,7.862539417358435059e+10
5.650000000000000000e+01,7.761690069775061035e+10
5.700000000000000000e+01,7.660227391050614929e+10
5.750000000000000000e+01,7.558264330109191895e+10
5.800000000000000000e+01,7.455911144105720520e+10
5.850000000000000000e+01,7.353275093019721985e+10
5.900000000000000000e+01,7.250460170036384583e+10
5.950000000000000000e+01,7.147566867392254639e+10
6.000000000000000000e+01,7.044691977014656067e+10
6.050000000000000000e+01,6.941928424975361633e+10
6.100000000000000000e+01,6.839365138511935425e+10
6.150000000000000000e+01,6.737086944143812561e+10
6.200000000000000000e+01,6.635174495224695587e+10
6.250000000000000000e+01,6.533704227126684570e+10
6.300000000000000000e+01,6.432748338142610168e+10
6.350000000000000000e+01,6.332374794118890381e+10
6.400000000000000000e+01,6.232647354789456177e+10
6.450000000000000000e+01,6.133620201522684479e+10
6.500000000000000000e+01,6.035354227374703217e+10
6.550000000000000000e+01,5.937901566287135315e+10
6.600000000000000000e+01,5.841309121144500732e+10
6.650000000000000000e+01,5.745621247516905212e+10
6.700000000000000000e+01,5.650877362495219421e+10
6.750000000000000000e+01,5.557114494964208984e+10
6.800000000000000000e+01,5.464365072647537231e+10
6.850000000000000000e+01,5.372659312249124908e+10
6.900000000000000000e+01,5.282023195063877869e+10
6.950000000000000000e+01,5.192483544752542877e+10
7.000000000000000000e+01,5.102792520227442932e+10
7.050000000000000000e+01,5.009914904525485992e+10
7.100000000000000000e+01,4.918727831722453308e+10
7.150000000000000000e+01,4.829200438342001343e+10
7.200000000000000000e+01,4.741302607671515656e+10
7.250000000000000000e+01,4.655004589522353363e+10
7.300000000000000000e+01,4.570277353532817841e+10
7.350000000000000000e+01,4.487092222644161224e+10
7.400000000000000000e+01,4.405421213659442139e+10
7.450000000000000000e+01,4.325236683940550995e+10
7.500000000000000000e+01,4.246511659682640839e+10
7.550000000000000000e+01,4.169219495355273438e+10
7.600000000000000000e+01,4.093334190135545349e+10
7.650000000000000000e+01,4.018830059633656311e+10
7.700000000000000000e+01,3.945682040911862183e+10
7.750000000000000000e+01,3.873865376051346588e+10
7.800000000000000000e+01,3.803355906168725586e+10
7.850000000000000000e+01,3.734129766397093201e+10
7.900000000000000000e+01,3.666163669296952820e+10
7.950000000000000000e+01,3.599434610839710999e+10
8.000000000000000000e+01,3.533920143595584869e+10
8.050000000000000000e+01,3.469598093322679138e+10
8.100000000000000000e+01,3.406446822300632858e+10
8.150000000000000000e+01,3.344444956142710495e+10
8.200000000000000000e+01,3.283571637630646896e+10
8.250000000000000000e+01,3.223806263380996704e+10
8.300000000000000000e+01,3.165128728523817825e+10
8.350000000000000000e+01,3.107519172867819214e+10
8.400000000000000000e+01,3.050958216753145981e+10
8.450000000000000000e+01,2.995426716372704315e+10
8.500000000000000000e+01,2.940905991117412186e+10
8.550000000000000000e+01,2.887377587723419952e+10
8.600000000000000000e+01,2.834823499416702271e+10
8.650000000000000000e+01,2.783225938567811584e+10
8.700000000000000000e+01,2.732567547931632233e+10
8.750000000000000000e+01,2.682831181502781677e+10
8.800000000000000000e+01,2.634000108135656357e+10
8.850000000000000000e+01,2.586057800304682541e+10
8.900000000000000000e+01,2.538988130379507065e+10
8.950000000000000000e+01,2.492775167004953384e+10
9.000000000000000000e+01,2.447403364296299744e+10
9.050000000000000000e+01,2.402857365564089203e+10
9.100000000000000000e+01,2.359122185684871674e+10
9.150000000000000000e+01,2.316183021905931091e+10
9.200000000000000000e+01,2.274025429637666702e+10
9.250000000000000000e+01,2.232635140082851028e+10
9.300000000000000000e+01,2.191998229687937927e+10
9.350000000000000000e+01,2.152100944350682831e+10
9.400000000000000000e+01,2.112929862759114838e+10
