x,current_density_corrected
0.000000000000000000e+00,1.167138175624615784e+11
5.000000000000000000e-01,1.155473060938693085e+11
1.000000000000000000e+00,1.144556612643148651e+11
1.500000000000000000e+00,1.134234260719597321e+11
2.000000000000000000e+00,1.124430802726423035e+11
2.500000000000000000e+00,1.115099840817008057e+11
3.000000000000000000e+00,1.106209443608837585e+11
3.500000000000000000e+00,1.097736130479100647e+11
4.000000000000000000e+00,1.089661761533132019e+11
4.500000000000000000e+00,1.081971718579455109e+11
5.000000000000000000e+00,1.074653756874580994e+11
5.500000000000000000e+00,1.067697248945426483e+11
6.000000000000000000e+00,1.061092676461908875e+11
6.500000000000000000e+00,1.054831286909918060e+11
7.000000000000000000e+00,1.048904862355418549e+11
7.500000000000000000e+00,1.043305564772948914e+11
8.000000000000000000e+00,1.038025833186750641e+11
8.500000000000000000e+00,1.033058315231501770e+11
9.000000000000000000e+00,1.028395821018273163e+11
9.500000000000000000e+00,1.024031291034448547e+11
1.000000000000000000e+01,1.019957772579568481e+11
1.050000000000000000e+01,1.016168401192077942e+11
1.100000000000000000e+01,1.012656384855078583e+11
1.150000000000000000e+01,1.009414989648145599e+11
1.200000000000000000e+01,1.006437526070950012e+11
1.250000000000000000e+01,1.003717335606961212e+11
1.300000000000000000e+01,1.001247777299192352e+11
1.350000000000000000e+01,9.990222142268251038e+10
1.400000000000000000e+01,9.970339998373118591e+10
1.450000000000000000e+01,9.952764641251943970e+10
1.500000000000000000e+01,9.937428996696015930e+10
1.550000000000000000e+01,9.924265475548780823e+10
1.600000000000000000e+01,9.913205832069670105e+10
1.650000000000000000e+01,9.904181021852664185e+10
1.700000000000000000e+01,9.897121059751596069e+10
1.750000000000000000e+01,9.891954878327185059e+10
1.800000000000000000e+01,9.888610187392285156e+10
1.850000000000000000e+01,9.887013335293844604e+10
1.900000000000000000e+01,9.887089172640950012e+10
1.950000000000000000e+01,9.888760919257901001e+10
2.000000000000000000e+01,9.891950035216542053e+10
2.050000000000000000e+01,9.896576096875556946e+10
2.100000000000000000e+01,9.902556678935502625e+10
2.150000000000000000e+01,9.909807243593251038e+10
2.200000000000000000e+01,9.918241037958125305e+10
2.250000000000000000e+01,9.927769000967265320e+10
2.300000000000000000e+01,9.938299681108616638e+10
2.350000000000000000e+01,9.949739166327676392e+10
2.400000000000000000e+01,9.961991027553462219e+10
2.450000000000000000e+01,9.974956277329704285e+10
2.500000000000000000e+01,9.988533345077920532e+10
2.550000000000000000e+01,1.000261807054513092e+11
2.600000000000000000e+01,1.001710371699937744e+11
2.650000000000000000e+01,1.003188100572959747e+11
2.700000000000000000e+01,1.004683817337758026e+11
2.750000000000000000e+01,1.006186105357797241e+11
2.800000000000000000e+01,1.007683318430629272e+11
2.850000000000000000e+01,1.009163594222726898e+11
2.900000000000000000e+01,1.010614870520369720e+11
2.950000000000000000e+01,1.012024904395534363e+11
3.000000000000000000e+01,1.013381294365993958e+11
3.050000000000000000e+01,1.014671505605126038e+11
3.100000000000000000e+01,1.015882898230372314e+11
3.150000000000000000e+01,1.017002758668713379e+11
3.200000000000000000e+01,1.018018334064331207e+11
3.250000000000000000e+01,1.018916869657009277e+11
3.300000000000000000e+01,1.019685649020570068e+11
3.350000000000000000e+01,1.020312037009272919e+11
3.400000000000000000e+01,1.020783525216770935e+11
3.450000000000000000e+01,1.021087779707794342e+11
3.500000000000000000e+01,1.021212690737927704e+11
3.550000000000000000e+01,1.021146424132411499e+11
3.600000000000000000e+01,1.020877473951670227e+11
3.650000000000000000e+01,1.020394716030356140e+11
3.700000000000000000e+01,1.019687461939016113e+11
3.750000000000000000e+01,1.018745512883978119e+11
3.800000000000000000e+01,1.017559213032803040e+11
3.850000000000000000e+01,1.016119501730736542e+11
3.900000000000000000e+01,1.014417964058583374e+11
3.950000000000000000e+01,1.012446879175506592e+11
4.000000000000000000e+01,1.010199265891836090e+11
4.050000000000000000e+01,1.007668924927449646e+11
4.100000000000000000e+01,1.004850477331453094e+11
4.150000000000000000e+01,1.001739398568050690e+11
4.200000000000000000e+01,9.983320478122990417e+10
4.250000000000000000e+01,9.946256920469276428e+10
4.300000000000000000e+01,9.906185246071406555e+10
4.350000000000000000e+01,9.863096778836058044e+10
4.400000000000000000e+01,9.816992299631970215e+10
4.450000000000000000e+01,9.767882050616767883e+10
4.500000000000000000e+01,9.715785676805332947e+10
4.550000000000000000e+01,9.660732105004606628e+10
4.600000000000000000e+01,9.602759361044282532e+10
4.650000000000000000e+01,9.541914327027824402e+10
4.700000000000000000e+01,9.478252441092218018e+10
4.750000000000000000e+01,9.411837342886106873e+10
4.800000000000000000e+01,9.342740468637895203e+10
4.850000000000000000e+01,9.271040600275621033e+10
4.900000000000000000e+01,9.196823373569447327e+10
4.950000000000000000e+01,9.120180750683895874e+10
5.000000000000000000e+01,9.041210462847917175e+10
5.050000000000000000e+01,8.960015429069812012e+10
5.100000000000000000e+01,8.876703156942076111e+10
5.150000000000000000e+01,8.791385131598336792e+10
5.200000000000000000e+01,8.704176198806265259e+10
5.250000000000000000e+01,8.615193948009910583e+10
5.300000000000000000e+01,8.524558100884132385e+10
5.350000000000000000e+01,8.432389910637316895e+10
5.400000000000000000e+01,8.338811576911024475e+10
5.450000000000000000e+01,8.243945680685012817e+10
5.500000000000000000e+01,8.147914643116282654e+10
5.550000000000000000e+01,8.050840211732766724e+10
5.600000000000000000e+01,7.952842976877322388e+10
5.650000000000000000e+01,7.854041920766807556e+10
5.700000000000000000e+01,7.754554001004766846e+10
5.750000000000000000e+01,7.654493769872720337e+10
5.800000000000000000e+01,7.553973030233679199e+10
5.850000000000000000e+01,7.453100528417546082e+10
5.900000000000000000e+01,7.351981684028514099e+10
5.950000000000000000e+01,7.250718356222544861e+10
6.000000000000000000e+01,7.149408645651994324e+10
6.050000000000000000e+01,7.048146730966632080e+10
6.100000000000000000e+01,6.947022738495674133e+10
6.150000000000000000e+01,6.846122643514511871e+10
6.200000000000000000e+01,6.745528201321131134e+10
6.250000000000000000e+01,6.645316906209436798e+10
6.300000000000000000e+01,6.545561976326923370e+10
6.350000000000000000e+01,6.446332362340147400e+10
6.400000000000000000e+01,6.347692777799943542e+10
6.450000000000000000e+01,6.249698295919756317e+10
6.500000000000000000e+01,6.152410752450742340e+10
6.550000000000000000e+01,6.055883167916499329e+10
6.600000000000000000e+01,5.960163310322850037e+10
6.650000000000000000e+01,5.865296391799430847e+10
6.700000000000000000e+01,5.771322672716850281e+10
6.750000000000000000e+01,5.678280020410092163e+10
6.800000000000000000e+01,5.586201694474290466e+10
6.850000000000000000e+01,5.495122014526419830e+10
6.900000000000000000e+01,5.405064562545304871e+10
6.950000000000000000e+01,5.315083119977088928e+10
7.000000000000000000e+01,5.221247085891197205e+10
7.050000000000000000e+01,5.129067674629897308e+10
7.100000000000000000e+01,5.038515703026982117e+10
7.150000000000000000e+01,4.949562354622753906e+10
7.200000000000000000e+01,4.862179489311858368e+10
7.250000000000000000e+01,4.776339299142993164e+10
7.300000000000000000e+01,4.692014628848387909e+10
7.350000000000000000e+01,4.609178643689717102e+10
7.400000000000000000e+01,4.527805138769786835e+10
7.450000000000000000e+01,4.447868218503078461e+10
7.500000000000000000e+01,4.369342595102243042e+10
7.550000000000000000e+01,4.292203279266419983e+10
7.600000000000000000e+01,4.216425868221416473e+10
