x,current_suppression_factor
0.000000000000000000e+00,4.010756605921174667e-01
5.000000000000000000e-01,4.044326512188923251e-01
1.000000000000000000e+00,4.080406538761580104e-01
1.500000000000000000e+00,4.118562331057969428e-01
2.000000000000000000e+00,4.158619149693091321e-01
2.500000000000000000e+00,4.200495188574434602e-01
3.000000000000000000e+00,4.244155287163950963e-01
3.500000000000000000e+00,4.289591771461119807e-01
4.000000000000000000e+00,4.336814615062844491e-01
4.500000000000000000e+00,4.385845680827849535e-01
5.000000000000000000e+00,4.436715062898937689e-01
5.500000000000000000e+00,4.489458656553272919e-01
6.000000000000000000e+00,4.544116511715773354e-01
6.500000000000000000e+00,4.600731714468084821e-01
7.000000000000000000e+00,4.659349633016450221e-01
7.500000000000000000e+00,4.720017415537139382e-01
8.000000000000000000e+00,4.782783659435074775e-01
8.500000000000000000e+00,4.847698194050791276e-01
9.000000000000000000e+00,4.914811935553990430e-01
9.500000000000000000e+00,4.984176785318801817e-01
1.000000000000000000e+01,5.055845552368185558e-01
1.050000000000000000e+01,5.129871887129255903e-01
1.100000000000000000e+01,5.206310218328311645e-01
1.150000000000000000e+01,5.285215687882937052e-01
1.200000000000000000e+01,5.366644080567987141e-01
1.250000000000000000e+01,5.450651746396147912e-01
1.300000000000000000e+01,5.537295514331220803e-01
1.350000000000000000e+01,5.626632596333320802e-01
1.400000000000000000e+01,5.718720480937000694e-01
1.450000000000000000e+01,5.813616815674029770e-01
1.500000000000000000e+01,5.911379277706548807e-01
1.550000000000000000e+01,6.012065432074057414e-01
1.600000000000000000e+01,6.115732576980186241e-01
1.650000000000000000e+01,6.222437575573241952e-01
1.700000000000000000e+01,6.332236673704421115e-01
1.750000000000000000e+01,6.445185303185907433e-01
1.800000000000000000e+01,6.561337870117870397e-01
1.850000000000000000e+01,6.680747527913040162e-01
1.900000000000000000e+01,6.803465934716366181e-01
1.950000000000000000e+01,6.929542995001836125e-01
2.000000000000000000e+01,7.059026585224807970e-01
2.050000000000000000e+01,7.191962263521564092e-01
2.100000000000000000e+01,7.328392963575580676e-01
2.150000000000000000e+01,7.468358672914962026e-01
2.200000000000000000e+01,7.611896096067616302e-01
2.250000000000000000e+01,7.759038303180867402e-01
2.300000000000000000e+01,7.909814364908900330e-01
2.350000000000000000e+01,8.064248974587067131e-01
2.400000000000000000e+01,8.222362058944264751e-01
2.450000000000000000e+01,8.384168378853523729e-01
2.500000000000000000e+01,8.549677121883639819e-01
2.550000000000000000e+01,8.718891488693839564e-01
2.600000000000000000e+01,8.891808275598963585e-01
2.650000000000000000e+01,9.068417455931984117e-01
