x,enhancement_factor
0.000000000000000000e+00,1.468903598080877337e+00
5.000000000000000000e-01,1.468656492541008163e+00
1.000000000000000000e+00,1.468269885272222242e+00
1.500000000000000000e+00,1.467759308479134939e+00
2.000000000000000000e+00,1.467130647164662793e+00
2.500000000000000000e+00,1.466386572917744990e+00
3.000000000000000000e+00,1.465528467985072636e+00
3.500000000000000000e+00,1.464557219119724030e+00
4.000000000000000000e+00,1.463473565838981916e+00
4.500000000000000000e+00,1.462278247677763376e+00
5.000000000000000000e+00,1.460972061909636688e+00
5.500000000000000000e+00,1.459555884036152440e+00
6.000000000000000000e+00,1.458030674035826202e+00
6.500000000000000000e+00,1.456397477581444333e+00
7.000000000000000000e+00,1.454657425577821517e+00
7.500000000000000000e+00,1.452811733135635164e+00
8.000000000000000000e+00,1.450861698324158455e+00
8.500000000000000000e+00,1.448808700801327731e+00
9.000000000000000000e+00,1.446654200348337138e+00
9.500000000000000000e+00,1.444399735316601152e+00
1.000000000000000000e+01,1.442046920989978886e+00
1.050000000000000000e+01,1.439597447864068736e+00
1.100000000000000000e+01,1.437053079844176073e+00
1.150000000000000000e+01,1.434415652363551397e+00
1.200000000000000000e+01,1.431687070423583563e+00
1.250000000000000000e+01,1.428869306557742469e+00
1.300000000000000000e+01,1.425964398721054183e+00
1.350000000000000000e+01,1.422974448107106049e+00
1.400000000000000000e+01,1.419901616894555074e+00
1.450000000000000000e+01,1.416748125925262114e+00
1.500000000000000000e+01,1.413516252316245447e+00
1.550000000000000000e+01,1.410208327007727469e+00
1.600000000000000000e+01,1.406826732249660594e+00
1.650000000000000000e+01,1.403373899029192851e+00
1.700000000000000000e+01,1.399852304441644435e+00
1.750000000000000000e+01,1.396264469007634235e+00
1.800000000000000000e+01,1.392612953939149190e+00
1.850000000000000000e+01,1.388900358357366693e+00
1.900000000000000000e+01,1.385129316465219640e+00
1.950000000000000000e+01,1.381302494677744797e+00
2.000000000000000000e+01,1.377422588713381302e+00
2.050000000000000000e+01,1.373492320649482457e+00
2.100000000000000000e+01,1.369514435945392128e+00
2.150000000000000000e+01,1.365491700436594513e+00
2.200000000000000000e+01,1.361426897303475325e+00
2.250000000000000000e+01,1.357322824018415197e+00
2.300000000000000000e+01,1.353182289274976746e+00
2.350000000000000000e+01,1.349008109903096830e+00
2.400000000000000000e+01,1.344803107774280804e+00
2.450000000000000000e+01,1.340570106700885722e+00
2.500000000000000000e+01,1.336311929333709125e+00
2.550000000000000000e+01,1.332031394062163088e+00
2.600000000000000000e+01,1.327731311921439783e+00
2.650000000000000000e+01,1.323414483511127004e+00
2.700000000000000000e+01,1.319083695929853306e+00
2.750000000000000000e+01,1.314741719730593283e+00
2.800000000000000000e+01,1.310391305901351000e+00
2.850000000000000000e+01,1.306035182875993073e+00
2.900000000000000000e+01,1.301676053580071768e+00
2.950000000000000000e+01,1.297316592516511546e+00
3.000000000000000000e+01,1.292959442896074229e+00
3.050000000000000000e+01,1.288607213817562380e+00
3.100000000000000000e+01,1.284262477502686295e+00
3.150000000000000000e+01,1.279927766590578830e+00
3.200000000000000000e+01,1.275605571496885693e+00
3.250000000000000000e+01,1.271298337842345472e+00
3.300000000000000000e+01,1.267008463955735964e+00
3.350000000000000000e+01,1.262738298455981623e+00
3.400000000000000000e+01,1.258490137918168772e+00
3.450000000000000000e+01,1.254266224628087123e+00
3.500000000000000000e+01,1.250068744429819967e+00
3.550000000000000000e+01,1.245899824670776201e+00
3.600000000000000000e+01,1.241761532248370381e+00
3.650000000000000000e+01,1.237655871762440185e+00
3.700000000000000000e+01,1.233584783777230465e+00
3.750000000000000000e+01,1.229550143196615597e+00
3.800000000000000000e+01,1.225553757755964535e+00
3.850000000000000000e+01,1.221597366633818904e+00
3.900000000000000000e+01,1.217682639186268512e+00
3.950000000000000000e+01,1.213811173806630395e+00
4.000000000000000000e+01,1.209984496912725582e+00
4.050000000000000000e+01,1.206204062063724214e+00
4.100000000000000000e+01,1.202471249208191928e+00
4.150000000000000000e+01,1.198787364064614058e+00
4.200000000000000000e+01,1.195153637635319788e+00
4.250000000000000000e+01,1.191571225854336946e+00
4.300000000000000000e+01,1.188041209369342432e+00
4.350000000000000000e+01,1.184564593457460013e+00
4.400000000000000000e+01,1.181142308074287106e+00
4.450000000000000000e+01,1.177775208035110266e+00
4.500000000000000000e+01,1.174464073326881408e+00
4.550000000000000000e+01,1.171209609549127562e+00
4.600000000000000000e+01,1.168012448481580146e+00
4.650000000000000000e+01,1.164873148775901868e+00
4.700000000000000000e+01,1.161792196768537844e+00
4.750000000000000000e+01,1.158770007411336067e+00
4.800000000000000000e+01,1.155806925316227085e+00
4.850000000000000000e+01,1.152903225909923224e+00
4.900000000000000000e+01,1.150059116694267081e+00
4.950000000000000000e+01,1.147274738607573452e+00
5.000000000000000000e+01,1.144550167482003777e+00
5.050000000000000000e+01,1.141885415591783692e+00
5.100000000000000000e+01,1.139280433286824934e+00
5.150000000000000000e+01,1.136735110706095009e+00
5.200000000000000000e+01,1.134249279564941704e+00
5.250000000000000000e+01,1.131822715010363467e+00
5.300000000000000000e+01,1.129455137538144305e+00
5.350000000000000000e+01,1.127146214965658810e+00
5.400000000000000000e+01,1.124895564454068131e+00
5.450000000000000000e+01,1.122702754573621453e+00
5.500000000000000000e+01,1.120567307405741397e+00
5.550000000000000000e+01,1.118488700675600134e+00
5.600000000000000000e+01,1.116466369908940548e+00
5.650000000000000000e+01,1.114499710606966287e+00
5.700000000000000000e+01,1.112588080433217774e+00
5.750000000000000000e+01,1.110730801406484947e+00
5.800000000000000000e+01,1.108927162093933827e+00
5.850000000000000000e+01,1.107176419798816092e+00
5.900000000000000000e+01,1.105477802737289572e+00
5.950000000000000000e+01,1.103830512199106328e+00
6.000000000000000000e+01,1.102233724687129213e+00
6.050000000000000000e+01,1.100686594030881205e+00
6.100000000000000000e+01,1.099188253469589593e+00
6.150000000000000000e+01,1.097737817700420226e+00
6.200000000000000000e+01,1.096334384887902358e+00
6.250000000000000000e+01,1.094977038630788657e+00
6.300000000000000000e+01,1.093664849882899137e+00
6.350000000000000000e+01,1.092396878824771544e+00
6.400000000000000000e+01,1.091172176683229633e+00
6.450000000000000000e+01,1.089989787496279172e+00
6.500000000000000000e+01,1.088848749821008433e+00
6.550000000000000000e+01,1.087748098382476325e+00
6.600000000000000000e+01,1.086686865661832924e+00
6.650000000000000000e+01,1.085664083422202886e+00
6.700000000000000000e+01,1.084678784171123622e+00
6.750000000000000000e+01,1.083730002558595418e+00
6.800000000000000000e+01,1.082816776710046502e+00
6.850000000000000000e+01,1.081938149493764767e+00
6.900000000000000000e+01,1.081093169722571634e+00
6.950000000000000000e+01,1.080280893289744526e+00
7.000000000000000000e+01,1.079500384239392652e+00
7.050000000000000000e+01,1.078750715771699786e+00
7.100000000000000000e+01,1.078030971183625564e+00
7.150000000000000000e+01,1.077340244745833120e+00
7.200000000000000000e+01,1.076677642516772115e+00
7.250000000000000000e+01,1.076042283094997609e+00
7.300000000000000000e+01,1.075433298310931374e+00
7.350000000000000000e+01,1.074849833859409909e+00
7.400000000000000000e+01,1.074291049874465331e+00
7.450000000000000000e+01,1.073756121447886569e+00
7.500000000000000000e+01,1.073244239093199326e+00
7.550000000000000000e+01,1.072754609156775008e+00
7.600000000000000000e+01,1.072286454177854509e+00
7.650000000000000000e+01,1.071839013199311186e+00
7.700000000000000000e+01,1.071411542031040165e+00
7.750000000000000000e+01,1.071003313467886020e+00
7.800000000000000000e+01,1.070613617464048595e+00
7.850000000000000000e+01,1.070241761265927627e+00
7.900000000000000000e+01,1.069887069505371935e+00
7.950000000000000000e+01,1.069548884255307142e+00
8.000000000000000000e+01,1.069226565049699484e+00
8.050000000000000000e+01,1.068919488869816359e+00
8.100000000000000000e+01,1.068627050098711395e+00
8.150000000000000000e+01,1.068348660445849863e+00
8.200000000000000000e+01,1.068083748843752012e+00
8.250000000000000000e+01,1.067831761318505546e+00
8.300000000000000000e+01,1.067592160835957538e+00
8.350000000000000000e+01,1.067364427125355730e+00
8.400000000000000000e+01,1.067148056482160046e+00
8.450000000000000000e+01,1.066942561551707636e+00
8.500000000000000000e+01,1.066747471095352395e+00
8.550000000000000000e+01,1.066562329740658788e+00
8.600000000000000000e+01,1.066386697717164322e+00
8.650000000000000000e+01,1.066220150579183290e+00
8.700000000000000000e+01,1.066062278917053741e+00
8.750000000000000000e+01,1.065912688058184621e+00
8.800000000000000000e+01,1.065770997759189820e+00
8.850000000000000000e+01,1.065636841890352349e+00
