x,oxygen_diffusion_profile
0.000000000000000000e+00,3.936589202979348667e-01
5.000000000000000000e-01,3.929889249714770272e-01
1.000000000000000000e+00,3.920039834997473549e-01
1.500000000000000000e+00,3.907683019522169010e-01
2.000000000000000000e+00,3.893116592694109146e-01
2.500000000000000000e+00,3.876516616017761652e-01
3.000000000000000000e+00,3.857999805932588178e-01
3.500000000000000000e+00,3.837649502431195181e-01
4.000000000000000000e+00,3.815529042049966568e-01
4.500000000000000000e+00,3.791689587746534529e-01
5.000000000000000000e+00,3.766175079386699376e-01
5.500000000000000000e+00,3.739025493364841468e-01
6.000000000000000000e+00,3.710279019328260874e-01
6.500000000000000000e+00,3.679973505066182482e-01
7.000000000000000000e+00,3.648147393763193080e-01
7.500000000000000000e+00,3.614840307209251091e-01
8.000000000000000000e+00,3.580093384135914492e-01
8.500000000000000000e+00,3.543949451981339704e-01
9.000000000000000000e+00,3.506453087693319204e-01
9.500000000000000000e+00,3.467650606236052369e-01
1.000000000000000000e+01,3.427590002964728821e-01
1.050000000000000000e+01,3.386320867066926477e-01
1.100000000000000000e+01,3.343894277063406140e-01
1.150000000000000000e+01,3.300362685226169157e-01
1.200000000000000000e+01,3.255779795124909559e-01
1.250000000000000000e+01,3.210200434884163401e-01
1.300000000000000000e+01,3.163680427765004355e-01
1.350000000000000000e+01,3.116276461132241327e-01
1.400000000000000000e+01,3.068045954561087751e-01
1.450000000000000000e+01,3.019046927670992475e-01
1.500000000000000000e+01,2.969337868184969143e-01
1.550000000000000000e+01,2.918977600663856253e-01
1.600000000000000000e+01,2.868025156336919124e-01
1.650000000000000000e+01,2.816539644428578959e-01
1.700000000000000000e+01,2.764580125367159247e-01
1.750000000000000000e+01,2.712205486245029551e-01
1.800000000000000000e+01,2.659474318884211819e-01
1.850000000000000000e+01,2.606444800846552945e-01
1.900000000000000000e+01,2.553174579709380221e-01
1.950000000000000000e+01,2.499720660910239312e-01
2.000000000000000000e+01,2.446139299444931858e-01
2.050000000000000000e+01,2.392485895684490493e-01
2.100000000000000000e+01,2.338814895554813533e-01
2.150000000000000000e+01,2.285179695303002911e-01
2.200000000000000000e+01,2.231632551052265823e-01
2.250000000000000000e+01,2.178224493325470745e-01
2.300000000000000000e+01,2.125005246695562400e-01
2.350000000000000000e+01,2.072023154698384717e-01
2.400000000000000000e+01,2.019325110121222011e-01
2.450000000000000000e+01,1.966956490758223486e-01
2.500000000000000000e+01,1.914961100701380869e-01
2.550000000000000000e+01,1.863381117213993299e-01
2.600000000000000000e+01,1.812257043212086027e-01
2.650000000000000000e+01,1.761627665357870243e-01
2.700000000000000000e+01,1.711530017748898458e-01
2.750000000000000000e+01,1.661999351166694172e-01
2.800000000000000000e+01,1.613069107828900284e-01
2.850000000000000000e+01,1.564770901571252426e-01
2.900000000000000000e+01,1.517134503366904807e-01
2.950000000000000000e+01,1.470187832074941747e-01
3.000000000000000000e+01,1.423956950293080448e-01
3.050000000000000000e+01,1.378466065175482647e-01
3.100000000000000000e+01,1.333737534061896213e-01
3.150000000000000000e+01,1.289791874752397316e-01
3.200000000000000000e+01,1.246647780249629939e-01
3.250000000000000000e+01,1.204322137780082652e-01
3.300000000000000000e+01,1.162830051896603795e-01
3.350000000000000000e+01,1.122184871455718103e-01
3.400000000000000000e+01,1.082398220256196170e-01
3.450000000000000000e+01,1.043480031119352613e-01
3.500000000000000000e+01,1.005438583186409052e-01
3.550000000000000000e+01,9.682805422044306332e-02
3.600000000000000000e+01,9.320110035696071993e-02
3.650000000000000000e+01,8.966335378949216728e-02
3.700000000000000000e+01,8.621502388684389173e-02
