x,penetration_depth_corrected
0.000000000000000000e+00,3.966039714818369077e+01
5.000000000000000000e-01,3.965372529860722040e+01
1.000000000000000000e+00,3.964328690234999897e+01
1.500000000000000000e+00,3.962950132893664090e+01
2.000000000000000000e+00,3.961252747344589409e+01
2.500000000000000000e+00,3.959243746877911718e+01
3.000000000000000000e+00,3.956926863559696272e+01
3.500000000000000000e+00,3.954304491623254592e+01
4.000000000000000000e+00,3.951378627765251395e+01
4.500000000000000000e+00,3.948151268729961316e+01
5.000000000000000000e+00,3.944624567156019168e+01
5.500000000000000000e+00,3.940800886897611832e+01
6.000000000000000000e+00,3.936682819896730479e+01
6.500000000000000000e+00,3.932273189469899677e+01
7.000000000000000000e+00,3.927575049060118317e+01
7.500000000000000000e+00,3.922591679466214742e+01
8.000000000000000000e+00,3.917326585475228029e+01
8.500000000000000000e+00,3.911783492163584697e+01
9.000000000000000000e+00,3.905966340940510406e+01
9.500000000000000000e+00,3.899879285354823111e+01
1.000000000000000000e+01,3.893526686672942816e+01
1.050000000000000000e+01,3.886913109232985875e+01
1.100000000000000000e+01,3.880043315579275287e+01
1.150000000000000000e+01,3.872922261381588527e+01
1.200000000000000000e+01,3.865555090143675443e+01
1.250000000000000000e+01,3.857947127705904933e+01
1.300000000000000000e+01,3.850103876546846493e+01
1.350000000000000000e+01,3.842031009889186066e+01
1.400000000000000000e+01,3.833734365615298856e+01
1.450000000000000000e+01,3.825219939998207508e+01
1.500000000000000000e+01,3.816493881253862952e+01
1.550000000000000000e+01,3.807562482920864255e+01
1.600000000000000000e+01,3.798432177074083427e+01
1.650000000000000000e+01,3.789109527378820985e+01
1.700000000000000000e+01,3.779601221992439974e+01
1.750000000000000000e+01,3.769914066320612278e+01
1.800000000000000000e+01,3.760054975635702590e+01
1.850000000000000000e+01,3.750030967564890005e+01
1.900000000000000000e+01,3.739849154456093316e+01
1.950000000000000000e+01,3.729516735629911039e+01
2.000000000000000000e+01,3.719040989526129692e+01
2.050000000000000000e+01,3.708429265753602522e+01
2.100000000000000000e+01,3.697688977052558812e+01
2.150000000000000000e+01,3.686827591178805363e+01
2.200000000000000000e+01,3.675852622719383334e+01
2.250000000000000000e+01,3.664771624849721121e+01
2.300000000000000000e+01,3.653592181042436948e+01
2.350000000000000000e+01,3.642321896738361175e+01
2.400000000000000000e+01,3.630968390990557992e+01
2.450000000000000000e+01,3.619539288092391160e+01
2.500000000000000000e+01,3.608042209201014572e+01
2.550000000000000000e+01,3.596484763967840337e+01
2.600000000000000000e+01,3.584874542187887414e+01
2.650000000000000000e+01,3.573219105480043112e+01
2.700000000000000000e+01,3.561525979010603749e+01
2.750000000000000000e+01,3.549802643272602154e+01
2.800000000000000000e+01,3.538056525933647833e+01
2.850000000000000000e+01,3.526294993765181118e+01
2.900000000000000000e+01,3.514525344666193973e+01
2.950000000000000000e+01,3.502754799794580975e+01
3.000000000000000000e+01,3.490990495819400508e+01
3.050000000000000000e+01,3.479239477307418582e+01
3.100000000000000000e+01,3.467508689257252996e+01
3.150000000000000000e+01,3.455804969794562709e+01
3.200000000000000000e+01,3.444135043041591615e+01
3.250000000000000000e+01,3.432505512174332551e+01
3.300000000000000000e+01,3.420922852680487125e+01
3.350000000000000000e+01,3.409393405831150403e+01
3.400000000000000000e+01,3.397923372379055706e+01
3.450000000000000000e+01,3.386518806495835321e+01
3.500000000000000000e+01,3.375185609960514199e+01
3.550000000000000000e+01,3.363929526611095611e+01
3.600000000000000000e+01,3.352756137070600317e+01
3.650000000000000000e+01,3.341670853758588322e+01
3.700000000000000000e+01,3.330678916198522188e+01
3.750000000000000000e+01,3.319785386630861979e+01
3.800000000000000000e+01,3.308995145941103999e+01
3.850000000000000000e+01,3.298312889911311174e+01
3.900000000000000000e+01,3.287743125802924737e+01
3.950000000000000000e+01,3.277290169277902265e+01
4.000000000000000000e+01,3.266958141664358806e+01
4.050000000000000000e+01,3.256750967572055089e+01
4.100000000000000000e+01,3.246672372862118294e+01
4.150000000000000000e+01,3.236725882974457846e+01
4.200000000000000000e+01,3.226914821615363138e+01
4.250000000000000000e+01,3.217242309806709955e+01
4.300000000000000000e+01,3.207711265297224656e+01
4.350000000000000000e+01,3.198324402335142125e+01
4.400000000000000000e+01,3.189084231800574898e+01
4.450000000000000000e+01,3.179993061694797873e+01
4.500000000000000000e+01,3.171052997982580024e+01
4.550000000000000000e+01,3.162265945782644394e+01
4.600000000000000000e+01,3.153633610900266504e+01
4.650000000000000000e+01,3.145157501694935220e+01
4.700000000000000000e+01,3.136838931275052289e+01
4.750000000000000000e+01,3.128679020010607559e+01
4.800000000000000000e+01,3.120678698353813019e+01
4.850000000000000000e+01,3.112838709956792727e+01
4.900000000000000000e+01,3.105159615074521184e+01
4.950000000000000000e+01,3.097641794240448121e+01
5.000000000000000000e+01,3.090285452201409910e+01
5.050000000000000000e+01,3.083090622097816080e+01
5.100000000000000000e+01,3.076057169874427188e+01
5.150000000000000000e+01,3.069184798906456280e+01
5.200000000000000000e+01,3.062473054825342444e+01
5.250000000000000000e+01,3.055921330527981183e+01
5.300000000000000000e+01,3.049528871352989867e+01
5.350000000000000000e+01,3.043294780407278566e+01
5.400000000000000000e+01,3.037218024025983709e+01
5.450000000000000000e+01,3.031297437348777990e+01
5.500000000000000000e+01,3.025531729995502062e+01
5.550000000000000000e+01,3.019919491824120072e+01
5.600000000000000000e+01,3.014459198754139280e+01
5.650000000000000000e+01,3.009149218638808776e+01
5.700000000000000000e+01,3.003987817169688057e+01
5.750000000000000000e+01,2.998973163797509400e+01
5.800000000000000000e+01,2.994103337653621111e+01
5.850000000000000000e+01,2.989376333456803536e+01
5.900000000000000000e+01,2.984790067390681756e+01
5.950000000000000000e+01,2.980342382937587331e+01
6.000000000000000000e+01,2.976031056655248719e+01
6.050000000000000000e+01,2.971853803883379541e+01
6.100000000000000000e+01,2.967808284367891858e+01
6.150000000000000000e+01,2.963892107791134833e+01
6.200000000000000000e+01,2.960102839197336522e+01
6.250000000000000000e+01,2.956438004303129574e+01
6.300000000000000000e+01,2.952895094683827892e+01
6.350000000000000000e+01,2.949471572826882948e+01
6.400000000000000000e+01,2.946164877044720143e+01
6.450000000000000000e+01,2.942972426239953521e+01
6.500000000000000000e+01,2.939891624516722857e+01
6.550000000000000000e+01,2.936919865632686211e+01
6.600000000000000000e+01,2.934054537286948872e+01
6.650000000000000000e+01,2.931293025239947880e+01
6.700000000000000000e+01,2.928632717262033580e+01
6.750000000000000000e+01,2.926071006908207650e+01
6.800000000000000000e+01,2.923605297117125446e+01
6.850000000000000000e+01,2.921233003633164671e+01
6.900000000000000000e+01,2.918951558250943279e+01
6.950000000000000000e+01,2.916758411882310043e+01
7.000000000000000000e+01,2.914651037446359894e+01
7.050000000000000000e+01,2.912626932583589578e+01
7.100000000000000000e+01,2.910683622195789155e+01
7.150000000000000000e+01,2.908818660813749446e+01
7.200000000000000000e+01,2.907029634795284778e+01
7.250000000000000000e+01,2.905314164356493478e+01
7.300000000000000000e+01,2.903669905439514665e+01
7.350000000000000000e+01,2.902094551420406532e+01
7.400000000000000000e+01,2.900585834661056239e+01
7.450000000000000000e+01,2.899141527909293714e+01
7.500000000000000000e+01,2.897759445551638180e+01
7.550000000000000000e+01,2.896437444723292742e+01
7.600000000000000000e+01,2.895173426280207352e+01
7.650000000000000000e+01,2.893965335638140246e+01
7.700000000000000000e+01,2.892811163483808556e+01
7.750000000000000000e+01,2.891708946363292299e+01
7.800000000000000000e+01,2.890656767152930939e+01
7.850000000000000000e+01,2.889652755418004659e+01
7.900000000000000000e+01,2.888695087664504157e+01
7.950000000000000000e+01,2.887781987489329083e+01
8.000000000000000000e+01,2.886911725634188741e+01
8.050000000000000000e+01,2.886082619948503947e+01
8.100000000000000000e+01,2.885293035266520789e+01
8.150000000000000000e+01,2.884541383203794851e+01
8.200000000000000000e+01,2.883826121878130522e+01
8.250000000000000000e+01,2.883145755559965195e+01
8.300000000000000000e+01,2.882498834257085463e+01
8.350000000000000000e+01,2.881883953238460450e+01
8.400000000000000000e+01,2.881299752501832145e+01
8.450000000000000000e+01,2.880744916189610905e+01
8.500000000000000000e+01,2.880218171957451645e+01
8.550000000000000000e+01,2.879718290299778971e+01
8.600000000000000000e+01,2.879244083836343648e+01
8.650000000000000000e+01,2.878794406563794794e+01
8.700000000000000000e+01,2.878368153076045388e+01
8.750000000000000000e+01,2.877964257757098565e+01
8.800000000000000000e+01,2.877581693949812447e+01
8.850000000000000000e+01,2.877219473103951586e+01
8.900000000000000000e+01,2.876876643906691911e+01
8.950000000000000000e+01,2.876552291398607863e+01
9.000000000000000000e+01,2.876245536077999532e+01
9.050000000000000000e+01,2.875955532996283281e+01
9.100000000000000000e+01,2.875681470846991417e+01
9.150000000000000000e+01,2.875422571050799192e+01
9.200000000000000000e+01,2.875178086838844038e+01
9.250000000000000000e+01,2.874947302336436294e+01
9.300000000000000000e+01,2.874729531649173708e+01
9.350000000000000000e+01,2.874524117953266611e+01
9.400000000000000000e+01,2.874330432591802520e+01
9.450000000000000000e+01,2.874147874178521533e+01
9.500000000000000000e+01,2.873975867710561971e+01
9.550000000000000000e+01,2.873813863691501425e+01
9.600000000000000000e+01,2.873661337265918903e+01
9.650000000000000000e+01,2.873517787366585452e+01
9.700000000000000000e+01,2.873382735875265936e+01
9.750000000000000000e+01,2.873255726798057097e+01
9.800000000000000000e+01,2.873136325456025730e+01
9.850000000000000000e+01,2.873024117691882040e+01
9.900000000000000000e+01,2.872918709093287504e+01
9.950000000000000000e+01,2.872819724233332650e+01
1.000000000000000000e+02,2.872726805928637361e+01
1.005000000000000000e+02,2.872639614515447448e+01
1.010000000000000000e+02,2.872557827144040843e+01
1.015000000000000000e+02,2.872481137091662617e+01
1.020000000000000000e+02,2.872409253094193815e+01
1.025000000000000000e+02,2.872341898696635809e+01
1.030000000000000000e+02,2.872278811622495098e+01
1.035000000000000000e+02,2.872219743162077066e+01
1.040000000000000000e+02,2.872164457579632924e+01
1.045000000000000000e+02,2.872112731539305841e+01
1.050000000000000000e+02,2.872064353549727045e+01
1.055000000000000000e+02,2.872019123427126885e+01
1.060000000000000000e+02,2.871976851776748063e+01
1.065000000000000000e+02,2.871937359492350694e+01
1.070000000000000000e+02,2.871900477273551644e+01
1.075000000000000000e+02,2.871866045160716752e+01
1.080000000000000000e+02,2.871833912087118179e+01
1.085000000000000000e+02,2.871803935448022571e+01
1.090000000000000000e+02,2.871775980686381402e+01
1.095000000000000000e+02,2.871749920894768238e+01
1.100000000000000000e+02,2.871725636433192363e+01
1.105000000000000000e+02,2.871703014562420719e+01
1.110000000000000000e+02,2.871681949092405617e+01
1.115000000000000000e+02,2.871662340045441653e+01
1.120000000000000000e+02,2.871644093333630821e+01
1.125000000000000000e+02,2.871627120450274973e+01
1.130000000000000000e+02,2.871611338174758998e+01
1.135000000000000000e+02,2.871596668290543519e+01
1.140000000000000000e+02,2.871583037315829401e+01
1.145000000000000000e+02,2.871570376246513945e+01
1.150000000000000000e+02,2.871558620311006393e+01
1.155000000000000000e+02,2.871547708736505911e+01
1.160000000000000000e+02,2.871537584526355502e+01
1.165000000000000000e+02,2.871528194248052301e+01
1.170000000000000000e+02,2.871519487831539763e+01
1.175000000000000000e+02,2.871511418377387770e+01
1.180000000000000000e+02,2.871503941974493657e+01
1.185000000000000000e+02,2.871497017526916196e+01
1.190000000000000000e+02,2.871490606589491534e+01
1.195000000000000000e+02,2.871484673211871552e+01
1.200000000000000000e+02,2.871479183790627587e+01
1.205000000000000000e+02,2.871474106929106185e+01
1.210000000000000000e+02,2.871469413304664542e+01
1.215000000000000000e+02,2.871465075543008538e+01
1.220000000000000000e+02,2.871461068099283409e+01
1.225000000000000000e+02,2.871457367145642081e+01
1.230000000000000000e+02,2.871453950464979599e+01
1.235000000000000000e+02,2.871450797350547646e+01
1.240000000000000000e+02,2.871447888511191948e+01
1.245000000000000000e+02,2.871445205981925497e+01
1.250000000000000000e+02,2.871442733039589257e+01
1.255000000000000000e+02,2.871440454123358066e+01
1.260000000000000000e+02,2.871438354759836287e+01
1.265000000000000000e+02,2.871436421492536084e+01
1.270000000000000000e+02,2.871434641815501010e+01
1.275000000000000000e+02,2.871433004110857823e+01
1.280000000000000000e+02,2.871431497590120330e+01
1.285000000000000000e+02,2.871430112239012189e+01
1.290000000000000000e+02,2.871428838765654135e+01
1.295000000000000000e+02,2.871427668551918089e+01
1.300000000000000000e+02,2.871426593607777633e+01
1.305000000000000000e+02,2.871425606528502428e+01
1.310000000000000000e+02,2.871424700454528178e+01
1.315000000000000000e+02,2.871423869033856136e+01
1.320000000000000000e+02,2.871423106386844637e+01
1.325000000000000000e+02,2.871422407073245964e+01
1.330000000000000000e+02,2.871421766061378023e+01
1.335000000000000000e+02,2.871421178699283061e+01
1.340000000000000000e+02,2.871420640687780335e+01
1.345000000000000000e+02,2.871420148055285537e+01
1.350000000000000000e+02,2.871419697134298943e+01
1.355000000000000000e+02,2.871419284539460293e+01
1.360000000000000000e+02,2.871418907147078770e+01
1.365000000000000000e+02,2.871418562076037873e+01
1.370000000000000000e+02,2.871418246670008401e+01
1.375000000000000000e+02,2.871417958480870425e+01
1.380000000000000000e+02,2.871417695253276747e+01
1.385000000000000000e+02,2.871417454910291411e+01
1.390000000000000000e+02,2.871417235540021906e+01
1.395000000000000000e+02,2.871417035383193905e+01
1.400000000000000000e+02,2.871416852821598908e+01
1.405000000000000000e+02,2.871416686367365045e+01
1.410000000000000000e+02,2.871416534652990649e+01
1.415000000000000000e+02,2.871416396422097250e+01
1.420000000000000000e+02,2.871416270520845515e+01
1.425000000000000000e+02,2.871416155889981781e+01
1.430000000000000000e+02,2.871416051557456584e+01
1.435000000000000000e+02,2.871415956631596700e+01
1.440000000000000000e+02,2.871415870294771011e+01
1.445000000000000000e+02,2.871415791797534567e+01
1.450000000000000000e+02,2.871415720453204656e+01
1.455000000000000000e+02,2.871415655632852193e+01
1.460000000000000000e+02,2.871415596760662581e+01
1.465000000000000000e+02,2.871415543309652207e+01
1.470000000000000000e+02,2.871415494797716406e+01
1.475000000000000000e+02,2.871415450783976198e+01
1.480000000000000000e+02,2.871415410865404283e+01
1.485000000000000000e+02,2.871415374673721033e+01
1.490000000000000000e+02,2.871415341872524252e+01
1.495000000000000000e+02,2.871415312154650579e+01
1.500000000000000000e+02,2.871415285239737969e+01
1.505000000000000000e+02,2.871415260871986774e+01
1.510000000000000000e+02,2.871415238818099525e+01
1.515000000000000000e+02,2.871415218865374541e+01
1.520000000000000000e+02,2.871415200819972924e+01
