x,screening_profile
0.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e-01,9.877415009024754511e+01
1.000000000000000000e+00,9.756499730486611099e+01
1.500000000000000000e+00,9.637212024500290397e+01
2.000000000000000000e+00,9.519513211986127033e+01
2.500000000000000000e+00,9.403366237873561317e+01
3.000000000000000000e+00,9.288735302364786151e+01
3.500000000000000000e+00,9.175585686029347698e+01
4.000000000000000000e+00,9.063883662642331274e+01
4.500000000000000000e+00,8.953596452886134216e+01
5.000000000000000000e+00,8.844692194624575166e+01
5.500000000000000000e+00,8.737139919696113566e+01
6.000000000000000000e+00,8.630909533269097267e+01
6.500000000000000000e+00,8.525971794333585763e+01
7.000000000000000000e+00,8.422298296856298805e+01
7.500000000000000000e+00,8.319861451450093170e+01
8.000000000000000000e+00,8.218634467510744912e+01
8.500000000000000000e+00,8.118591335802474873e+01
9.000000000000000000e+00,8.019706811480928366e+01
9.500000000000000000e+00,7.921956397543684147e+01
1.000000000000000000e+01,7.825316328698211521e+01
1.050000000000000000e+01,7.729763555636863259e+01
1.100000000000000000e+01,7.635275729707893788e+01
1.150000000000000000e+01,7.541831187971193629e+01
1.200000000000000000e+01,7.449408938626893928e+01
1.250000000000000000e+01,7.357988646804672328e+01
1.300000000000000000e+01,7.267550620701214825e+01
1.350000000000000000e+01,7.178075798052955747e+01
1.400000000000000000e+01,7.089545732930882593e+01
1.450000000000000000e+01,7.001942582843967955e+01
1.500000000000000000e+01,6.915249096137439722e+01
1.550000000000000000e+01,6.829448599671965781e+01
1.600000000000000000e+01,6.744524986769519614e+01
1.650000000000000000e+01,6.660462705411583784e+01
1.700000000000000000e+01,6.577246746675155009e+01
1.750000000000000000e+01,6.494862633391866780e+01
1.800000000000000000e+01,6.413296409015481458e+01
1.850000000000000000e+01,6.332534626682917178e+01
1.900000000000000000e+01,6.252564338453906601e+01
1.950000000000000000e+01,6.173373084714426540e+01
2.000000000000000000e+01,6.094948883729034605e+01
2.050000000000000000e+01,6.017280221327320078e+01
2.100000000000000000e+01,5.940356040709793461e+01
2.150000000000000000e+01,5.864165732358681282e+01
2.200000000000000000e+01,5.788699124039295185e+01
2.250000000000000000e+01,5.713946470877849038e+01
2.300000000000000000e+01,5.639898445501941637e+01
2.350000000000000000e+01,5.566546128230211110e+01
2.400000000000000000e+01,5.493880997298062852e+01
2.450000000000000000e+01,5.421894919106852484e+01
2.500000000000000000e+01,5.350580138484340154e+01
2.550000000000000000e+01,5.279929268944854925e+01
2.600000000000000000e+01,5.209935282938157286e+01
