x,screening_profile_corrected
0.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e-01,9.927036641801019812e+01
1.000000000000000000e+00,9.854782768248830394e+01
1.500000000000000000e+00,9.783195410088286792e+01
2.000000000000000000e+00,9.712239975312292017e+01
2.500000000000000000e+00,9.641885449812141928e+01
3.000000000000000000e+00,9.572103215207260973e+01
3.500000000000000000e+00,9.502866365707669161e+01
4.000000000000000000e+00,9.434149289445254283e+01
4.500000000000000000e+00,9.365927395347128481e+01
5.000000000000000000e+00,9.298176931002809908e+01
5.500000000000000000e+00,9.230874859096067553e+01
6.000000000000000000e+00,9.163998772896486855e+01
6.500000000000000000e+00,9.097526838114789882e+01
7.000000000000000000e+00,9.031437752562871424e+01
7.500000000000000000e+00,8.965710717771784743e+01
8.000000000000000000e+00,8.900325418585487114e+01
8.500000000000000000e+00,8.835262008056200500e+01
9.000000000000000000e+00,8.770501095884209519e+01
9.500000000000000000e+00,8.706023739278433027e+01
1.000000000000000000e+01,8.641811435541445974e+01
1.050000000000000000e+01,8.577846115962830709e+01
1.100000000000000000e+01,8.514110140782689484e+01
1.150000000000000000e+01,8.450586295096449874e+01
1.200000000000000000e+01,8.387257785636833773e+01
1.250000000000000000e+01,8.324108238405796101e+01
1.300000000000000000e+01,8.261121697149394549e+01
1.350000000000000000e+01,8.198282622678800635e+01
1.400000000000000000e+01,8.135575893045383111e+01
1.450000000000000000e+01,8.072986804579386444e+01
1.500000000000000000e+01,8.010501073801540883e+01
1.550000000000000000e+01,7.948104840215769684e+01
1.600000000000000000e+01,7.885784669989361362e+01
1.650000000000000000e+01,7.823527560524684077e+01
1.700000000000000000e+01,7.761320945923847603e+01
1.750000000000000000e+01,7.699152703344698523e+01
1.800000000000000000e+01,7.637011160243065433e+01
1.850000000000000000e+01,7.574885102492422106e+01
1.900000000000000000e+01,7.512763783367829262e+01
1.950000000000000000e+01,7.450636933376402737e+01
2.000000000000000000e+01,7.388494770911371745e+01
2.050000000000000000e+01,7.326328013701277087e+01
2.100000000000000000e+01,7.264127891019633410e+01
2.150000000000000000e+01,7.201886156613997514e+01
2.200000000000000000e+01,7.139595102306131480e+01
2.250000000000000000e+01,7.077247572207572546e+01
2.300000000000000000e+01,7.014836977486798730e+01
2.350000000000000000e+01,6.952357311615833169e+01
2.400000000000000000e+01,6.889803166015219915e+01
2.450000000000000000e+01,6.827169746007189133e+01
2.500000000000000000e+01,6.764452886977292678e+01
2.550000000000000000e+01,6.701649070635161820e+01
2.600000000000000000e+01,6.638755441255209178e+01
2.650000000000000000e+01,6.575769821768301426e+01
2.700000000000000000e+01,6.512690729565726144e+01
2.750000000000000000e+01,6.449517391867311744e+01
2.800000000000000000e+01,6.386249760496536254e+01
2.850000000000000000e+01,6.322888525896970435e+01
2.900000000000000000e+01,6.259435130216674992e+01
2.950000000000000000e+01,6.195891779280429290e+01
3.000000000000000000e+01,6.132261453263998874e+01
3.050000000000000000e+01,6.068547915880483146e+01
3.100000000000000000e+01,6.004755721886017028e+01
3.150000000000000000e+01,5.940890222711306734e+01
3.200000000000000000e+01,5.876957570026566202e+01
3.250000000000000000e+01,5.812964717050743957e+01
3.300000000000000000e+01,5.748919417421666367e+01
3.350000000000000000e+01,5.684830221451939991e+01
3.400000000000000000e+01,5.620706469606380296e+01
3.450000000000000000e+01,5.556558283050389235e+01
3.500000000000000000e+01,5.492396551135206550e+01
3.550000000000000000e+01,5.428232915705212491e+01
3.600000000000000000e+01,5.364079752134519907e+01
3.650000000000000000e+01,5.299950147024789260e+01
3.700000000000000000e+01,5.235857872523354217e+01
3.750000000000000000e+01,5.171817357250163383e+01
3.800000000000000000e+01,5.107843653853385746e+01
3.850000000000000000e+01,5.043952403246478866e+01
3.900000000000000000e+01,4.980159795613604246e+01
3.950000000000000000e+01,4.916482528305065358e+01
4.000000000000000000e+01,4.852937760779416010e+01
4.050000000000000000e+01,4.789543066783467395e+01
4.100000000000000000e+01,4.726316383995037285e+01
4.150000000000000000e+01,4.663275961385377144e+01
4.200000000000000000e+01,4.600440304588133955e+01
