x,suppression_factor
0.000000000000000000e+00,1.114658487271635634e+00
1.000000000000000000e+00,1.141147914726643675e+00
2.000000000000000000e+00,1.167887314266442100e+00
3.000000000000000000e+00,1.194875273660445547e+00
4.000000000000000000e+00,1.222112556997046795e+00
5.000000000000000000e+00,1.249602133357222034e+00
6.000000000000000000e+00,1.277349136113466344e+00
7.000000000000000000e+00,1.305360771625704075e+00
8.000000000000000000e+00,1.333646191705669670e+00
9.000000000000000000e+00,1.362216346939315814e+00
1.000000000000000000e+01,1.391083838223238001e+00
1.100000000000000000e+01,1.420262782460848694e+00
1.200000000000000000e+01,1.449768705612245245e+00
1.300000000000000000e+01,1.479618472654371963e+00
1.400000000000000000e+01,1.509830259992227530e+00
1.500000000000000000e+01,1.540423571949993686e+00
1.600000000000000000e+01,1.571419299558967309e+00
1.700000000000000000e+01,1.602839817891883900e+00
1.800000000000000000e+01,1.634709112357137117e+00
1.900000000000000000e+01,1.667052933835556860e+00
2.000000000000000000e+01,1.699898968577999270e+00
2.100000000000000000e+01,1.733277019857766943e+00
2.200000000000000000e+01,1.767219195058443049e+00
2.300000000000000000e+01,1.801760093745738089e+00
2.400000000000000000e+01,1.836936993451444122e+00
2.500000000000000000e+01,1.872790030977621090e+00
2.600000000000000000e+01,1.909362377927536381e+00
2.700000000000000000e+01,1.946700409848580282e+00
2.800000000000000000e+01,1.984853868828752255e+00
2.900000000000000000e+01,2.023876019644924806e+00
3.000000000000000000e+01,2.063823799654921576e+00
3.100000000000000000e+01,2.104757962599076215e+00
3.200000000000000000e+01,2.146743216371901575e+00
3.300000000000000000e+01,2.189848354677148112e+00
3.400000000000000000e+01,2.234146382319034618e+00
3.500000000000000000e+01,2.279714633730529627e+00
3.600000000000000000e+01,2.326634884211102428e+00
3.700000000000000000e+01,2.374993453250843878e+00
3.800000000000000000e+01,2.424881299260502665e+00
3.900000000000000000e+01,2.476394105010225388e+00
4.000000000000000000e+01,2.529632353104115605e+00
4.100000000000000000e+01,2.584701390882600869e+00
4.200000000000000000e+01,2.641711484248197905e+00
4.300000000000000000e+01,2.700777860050844748e+00
4.400000000000000000e+01,2.762020736843300739e+00
4.500000000000000000e+01,2.825565344022015868e+00
4.600000000000000000e+01,2.891541929599709793e+00
4.700000000000000000e+01,2.960085757107636883e+00
4.800000000000000000e+01,3.031337092391849453e+00
4.900000000000000000e+01,3.105441181341686452e+00
5.000000000000000000e+01,3.182548219862436412e+00
5.100000000000000000e+01,3.262813317669378321e+00
5.200000000000000000e+01,3.346396457728559870e+00
5.300000000000000000e+01,3.433462453392377878e+00
5.400000000000000000e+01,3.524180905467313440e+00
5.500000000000000000e+01,3.618726161599894464e+00
5.600000000000000000e+01,3.717277280469291068e+00
5.700000000000000000e+01,3.820018003326526301e+00
