x,current_density
0.000000000000000000e+00,1.363120831413492279e+11
5.000000000000000000e-01,1.349959350679481659e+11
1.000000000000000000e+00,1.337138903197585907e+11
1.500000000000000000e+00,1.324652411200488739e+11
2.000000000000000000e+00,1.312492890168736267e+11
2.500000000000000000e+00,1.300653448690385590e+11
3.000000000000000000e+00,1.289127288017039490e+11
3.500000000000000000e+00,1.277907701356470642e+11
4.000000000000000000e+00,1.266988072917208099e+11
4.500000000000000000e+00,1.256361876719928284e+11
5.000000000000000000e+00,1.246022675189925232e+11
5.500000000000000000e+00,1.235964117544442291e+11
6.000000000000000000e+00,1.226179937988113556e+11
6.500000000000000000e+00,1.216663953729308319e+11
7.000000000000000000e+00,1.207410062829698792e+11
7.500000000000000000e+00,1.198412241898949127e+11
8.000000000000000000e+00,1.189664543646026764e+11
8.500000000000000000e+00,1.181161094298278046e+11
9.000000000000000000e+00,1.172896090899073181e+11
9.500000000000000000e+00,1.164863798494540863e+11
1.000000000000000000e+01,1.157058547219656067e+11
1.050000000000000000e+01,1.149474729293727112e+11
1.100000000000000000e+01,1.142106795935161438e+11
1.150000000000000000e+01,1.134949254205248260e+11
1.200000000000000000e+01,1.127996663790609131e+11
1.250000000000000000e+01,1.121243633733923645e+11
1.300000000000000000e+01,1.114684819122516632e+11
1.350000000000000000e+01,1.108314917744451599e+11
1.400000000000000000e+01,1.102128666721837158e+11
1.450000000000000000e+01,1.096120839131175079e+11
1.500000000000000000e+01,1.090286240620765686e+11
1.550000000000000000e+01,1.084619706035352478e+11
1.600000000000000000e+01,1.079116096058464966e+11
1.650000000000000000e+01,1.073770293883182068e+11
1.700000000000000000e+01,1.068577201922363739e+11
1.750000000000000000e+01,1.063531738569745178e+11
1.800000000000000000e+01,1.058628835023673553e+11
1.850000000000000000e+01,1.053863432185684357e+11
1.900000000000000000e+01,1.049230477646534729e+11
1.950000000000000000e+01,1.044724922772783203e+11
2.000000000000000000e+01,1.040341719907471008e+11
2.050000000000000000e+01,1.036075819698942261e+11
2.100000000000000000e+01,1.031922168572322998e+11
2.150000000000000000e+01,1.027875706358687134e+11
2.200000000000000000e+01,1.023931364097375946e+11
2.250000000000000000e+01,1.020084062027447510e+11
2.300000000000000000e+01,1.016328707784616852e+11
2.350000000000000000e+01,1.012660194820499878e+11
2.400000000000000000e+01,1.009073401061283264e+11
2.450000000000000000e+01,1.005563187823289185e+11
2.500000000000000000e+01,1.002124399003104248e+11
2.550000000000000000e+01,9.987518605601272583e+10
2.600000000000000000e+01,9.954403803094377136e+10
2.650000000000000000e+01,9.921847480428660583e+10
2.700000000000000000e+01,9.889797359959899902e+10
2.750000000000000000e+01,9.858200996784901428e+10
2.800000000000000000e+01,9.827005790848783875e+10
2.850000000000000000e+01,9.796159003020318604e+10
2.900000000000000000e+01,9.765607775291845703e+10
2.950000000000000000e+01,9.735299155251092529e+10
3.000000000000000000e+01,9.705180124960681152e+10
3.050000000000000000e+01,9.675197634367543030e+10
3.100000000000000000e+01,9.645298639348881531e+10
3.150000000000000000e+01,9.615430144483116150e+10
3.200000000000000000e+01,9.585539250614031982e+10
3.250000000000000000e+01,9.555573207253378296e+10
3.300000000000000000e+01,9.525479469841993713e+10
3.350000000000000000e+01,9.495205761861787415e+10
3.400000000000000000e+01,9.464700141760804749e+10
3.450000000000000000e+01,9.433911074620979309e+10
3.500000000000000000e+01,9.402787508463661194e+10
3.550000000000000000e+01,9.371278955050988770e+10
3.600000000000000000e+01,9.339335575002485657e+10
3.650000000000000000e+01,9.306908267005961609e+10
3.700000000000000000e+01,9.273948760859684753e+10
3.750000000000000000e+01,9.240409714040374756e+10
3.800000000000000000e+01,9.206244811447494507e+10
3.850000000000000000e+01,9.171408867930970764e+10
3.900000000000000000e+01,9.135857933165539551e+10
3.950000000000000000e+01,9.099549398392166138e+10
4.000000000000000000e+01,9.062442104505358887e+10
4.050000000000000000e+01,9.024496450925389099e+10
4.100000000000000000e+01,8.985674504657055664e+10
4.150000000000000000e+01,8.945940108902478027e+10
4.200000000000000000e+01,8.905258990564576721e+10
4.250000000000000000e+01,8.863598865951913452e+10
4.300000000000000000e+01,8.820929543973919678e+10
4.350000000000000000e+01,8.777223026099815369e+10
4.400000000000000000e+01,8.732453602344619751e+10
4.450000000000000000e+01,8.686597942542417908e+10
4.500000000000000000e+01,8.639635182170533752e+10
4.550000000000000000e+01,8.591547001999440002e+10
4.600000000000000000e+01,8.542317700861566162e+10
4.650000000000000000e+01,8.491934260858541870e+10
4.700000000000000000e+01,8.440386404360424805e+10
4.750000000000000000e+01,8.387666642192379761e+10
4.800000000000000000e+01,8.333770312453491211e+10
4.850000000000000000e+01,8.278695609469183350e+10
4.900000000000000000e+01,8.222443602442132568e+10
4.950000000000000000e+01,8.165018243436427307e+10
5.000000000000000000e+01,8.106426364405029297e+10
5.050000000000000000e+01,8.046677663051023865e+10
5.100000000000000000e+01,7.985784677397326660e+10
5.150000000000000000e+01,7.923762749026818848e+10
5.200000000000000000e+01,7.860629975044238281e+10
5.250000000000000000e+01,7.796407148901228333e+10
5.300000000000000000e+01,7.731117690316043091e+10
5.350000000000000000e+01,7.664787564607957458e+10
5.400000000000000000e+01,7.597445191852455139e+10
5.450000000000000000e+01,7.529121346345916748e+10
5.500000000000000000e+01,7.459849046946278381e+10
5.550000000000000000e+01,7.389663438928189087e+10
5.600000000000000000e+01,7.318601668057035828e+10
5.650000000000000000e+01,7.246702747644044495e+10
5.700000000000000000e+01,7.174007419395111084e+10
5.750000000000000000e+01,7.100558008907296753e+10
5.800000000000000000e+01,7.026398276699366760e+10
5.850000000000000000e+01,6.951573265685914612e+10
5.900000000000000000e+01,6.876129146018116760e+10
5.950000000000000000e+01,6.800113058218412781e+10
6.000000000000000000e+01,6.723572955531126404e+10
6.050000000000000000e+01,6.646557446397099304e+10
6.100000000000000000e+01,6.569115637937419128e+10
6.150000000000000000e+01,6.491296981300777435e+10
6.200000000000000000e+01,6.413151119690666962e+10
6.250000000000000000e+01,6.334727739843759155e+10
6.300000000000000000e+01,6.256076427680119324e+10
6.350000000000000000e+01,6.177240798391315460e+10
6.400000000000000000e+01,6.098275651846003723e+10
6.450000000000000000e+01,6.019229550740005493e+10
6.500000000000000000e+01,5.940150225808592224e+10
6.550000000000000000e+01,5.861084914224367523e+10
6.600000000000000000e+01,5.782079724891439819e+10
6.650000000000000000e+01,5.703180134696607971e+10
6.700000000000000000e+01,5.624430235749173737e+10
6.750000000000000000e+01,5.545873370184123230e+10
6.800000000000000000e+01,5.467551280521185303e+10
6.850000000000000000e+01,5.389504862441118622e+10
6.900000000000000000e+01,5.311773239389846039e+10
6.950000000000000000e+01,5.234394612162847900e+10
7.000000000000000000e+01,5.157405278272126770e+10
7.050000000000000000e+01,5.080840557223396301e+10
7.100000000000000000e+01,5.004733774085152435e+10
7.150000000000000000e+01,4.929117239952571869e+10
7.200000000000000000e+01,4.854021217706204224e+10
7.250000000000000000e+01,4.779474938235299683e+10
7.300000000000000000e+01,4.705505564646775055e+10
7.350000000000000000e+01,4.632139226272204590e+10
7.400000000000000000e+01,4.559399995680015564e+10
7.450000000000000000e+01,4.487310924216479492e+10
7.500000000000000000e+01,4.415893044172158813e+10
7.550000000000000000e+01,4.345166391513751984e+10
7.600000000000000000e+01,4.275149043535703278e+10
7.650000000000000000e+01,4.205858116440274048e+10
7.700000000000000000e+01,4.137308846830829620e+10
7.750000000000000000e+01,4.069515553816115570e+10
7.800000000000000000e+01,4.002490770824256134e+10
7.850000000000000000e+01,3.936246163880086517e+10
7.900000000000000000e+01,3.870791718476876068e+10
7.950000000000000000e+01,3.806136607551589203e+10
8.000000000000000000e+01,3.742288436571630096e+10
8.050000000000000000e+01,3.679254056473519897e+10
8.100000000000000000e+01,3.617038868720690155e+10
8.150000000000000000e+01,3.555647580049622345e+10
8.200000000000000000e+01,3.495083568038889313e+10
8.250000000000000000e+01,3.435349575907155991e+10
8.300000000000000000e+01,3.376447138102947235e+10
8.350000000000000000e+01,3.318378157155677032e+10
8.400000000000000000e+01,3.261141595751099777e+10
8.450000000000000000e+01,3.202384597839564514e+10
8.500000000000000000e+01,3.144096950554158401e+10
8.550000000000000000e+01,3.086870201250573730e+10
8.600000000000000000e+01,3.030685083710816956e+10
8.650000000000000000e+01,2.975522581335353088e+10
8.700000000000000000e+01,2.921364137644782639e+10
8.750000000000000000e+01,2.868191421994263840e+10
8.800000000000000000e+01,2.815986547261926270e+10
8.850000000000000000e+01,2.764731844014298630e+10
8.900000000000000000e+01,2.714410070342402649e+10
8.950000000000000000e+01,2.665004194173338699e+10
9.000000000000000000e+01,2.616497595537311935e+10
9.050000000000000000e+01,2.568873856731530380e+10
9.100000000000000000e+01,2.522116957291184998e+10
9.150000000000000000e+01,2.476211071722426605e+10
9.200000000000000000e+01,2.431140757440468979e+10
9.250000000000000000e+01,2.386890759798617935e+10
9.300000000000000000e+01,2.343446193247191238e+10
9.350000000000000000e+01,2.300792353395415115e+10
9.400000000000000000e+01,2.258914891635693359e+10
9.450000000000000000e+01,2.217799633984688950e+10
9.500000000000000000e+01,2.177432749408661652e+10
9.550000000000000000e+01,2.137800575199192429e+10
9.600000000000000000e+01,2.098889779226796722e+10
9.650000000000000000e+01,2.060687191615591812e+10
9.700000000000000000e+01,2.023179961144194031e+10
9.750000000000000000e+01,1.986355392992111969e+10
9.800000000000000000e+01,1.950201099499052811e+10
9.850000000000000000e+01,1.914704843764020538e+10
9.900000000000000000e+01,1.879854684966529846e+10
9.950000000000000000e+01,1.845638827607300949e+10
1.000000000000000000e+02,1.812045761587535858e+10
1.005000000000000000e+02,1.779064116887706757e+10
1.010000000000000000e+02,1.746682798593985367e+10
1.015000000000000000e+02,1.714890846818959808e+10
1.020000000000000000e+02,1.683677566857482147e+10
1.025000000000000000e+02,1.653032394160234261e+10
1.030000000000000000e+02,1.622945019794673920e+10
1.035000000000000000e+02,1.593405260289191246e+10
