x,current_suppression_factor
0.000000000000000000e+00,4.499140801160617098e-01
5.000000000000000000e-01,4.539654529019134799e-01
1.000000000000000000e+00,4.581270303654653708e-01
1.500000000000000000e+00,4.624012680359110838e-01
2.000000000000000000e+00,4.667906567374141003e-01
2.500000000000000000e+00,4.712977230437958576e-01
3.000000000000000000e+00,4.759250296409938130e-01
3.500000000000000000e+00,4.806751755992482722e-01
4.000000000000000000e+00,4.855507965483965571e-01
4.500000000000000000e+00,4.905545647493708694e-01
5.000000000000000000e+00,4.956891890546906154e-01
5.500000000000000000e+00,5.009574147504380903e-01
6.000000000000000000e+00,5.063620232718839542e-01
6.500000000000000000e+00,5.119058317846038042e-01
7.000000000000000000e+00,5.175916926226002968e-01
7.500000000000000000e+00,5.234224925746027157e-01
8.000000000000000000e+00,5.294011520093838685e-01
8.500000000000000000e+00,5.355306238305982403e-01
9.000000000000000000e+00,5.418138922513103806e-01
9.500000000000000000e+00,5.482539713780575363e-01
1.000000000000000000e+01,5.548539035939780151e-01
1.050000000000000000e+01,5.616167577302273450e-01
1.100000000000000000e+01,5.685456270146278523e-01
1.150000000000000000e+01,5.756436267862327094e-01
1.200000000000000000e+01,5.829138919642431471e-01
1.250000000000000000e+01,5.903595742595332263e-01
1.300000000000000000e+01,5.979838391168453837e-01
1.350000000000000000e+01,6.057898623756279299e-01
1.400000000000000000e+01,6.137808266373931954e-01
1.450000000000000000e+01,6.219599173274755755e-01
1.500000000000000000e+01,6.303303184391202407e-01
1.550000000000000000e+01,6.388952079479565116e-01
1.600000000000000000e+01,6.476577528851203969e-01
1.650000000000000000e+01,6.566211040575908875e-01
1.700000000000000000e+01,6.657883904047056101e-01
1.750000000000000000e+01,6.751627129803167149e-01
1.800000000000000000e+01,6.847471385506946895e-01
1.850000000000000000e+01,6.945446927990331920e-01
1.900000000000000000e+01,7.045583531283003964e-01
1.950000000000000000e+01,7.147910410552424931e-01
2.000000000000000000e+01,7.252456141895438080e-01
2.050000000000000000e+01,7.359248577935298963e-01
2.100000000000000000e+01,7.468314759193586116e-01
2.150000000000000000e+01,7.579680821224037413e-01
2.200000000000000000e+01,7.693371897514719171e-01
2.250000000000000000e+01,7.809412018186782101e-01
2.300000000000000000e+01,7.927824004541503822e-01
2.350000000000000000e+01,8.048629359533688854e-01
2.400000000000000000e+01,8.171848154277349119e-01
2.450000000000000000e+01,8.297498910720522147e-01
2.500000000000000000e+01,8.425598480658640366e-01
2.550000000000000000e+01,8.556161921291242090e-01
2.600000000000000000e+01,8.689202367564043961e-01
2.650000000000000000e+01,8.824730901578194953e-01
2.700000000000000000e+01,8.962756419389952267e-01
2.750000000000000000e+01,9.103285495567877694e-01
2.800000000000000000e+01,9.246322245919763594e-01
2.850000000000000000e+01,9.391868188848704335e-01
2.900000000000000000e+01,9.539922105845531908e-01
2.950000000000000000e+01,9.690479901674285967e-01
3.000000000000000000e+01,9.843534464856906752e-01
3.050000000000000000e+01,9.999075529113183869e-01
3.100000000000000000e+01,1.015708953646171420e+00
3.150000000000000000e+01,1.031755950273622213e+00
3.200000000000000000e+01,1.048046488631888318e+00
3.250000000000000000e+01,1.064578146093785760e+00
3.300000000000000000e+01,1.081348119341839498e+00
3.350000000000000000e+01,1.098353212731654871e+00
3.400000000000000000e+01,1.115589827339911855e+00
3.450000000000000000e+01,1.133053950796371945e+00
3.500000000000000000e+01,1.150741148001713787e+00
3.550000000000000000e+01,1.168646552834768482e+00
3.600000000000000000e+01,1.186764860953780198e+00
3.650000000000000000e+01,1.205090323796504270e+00
3.700000000000000000e+01,1.223616743883269464e+00
3.750000000000000000e+01,1.242337471525483794e+00
3.800000000000000000e+01,1.261245403039331636e+00
3.850000000000000000e+01,1.280332980560635825e+00
3.900000000000000000e+01,1.299592193551873054e+00
3.950000000000000000e+01,1.319014582086194043e+00
4.000000000000000000e+01,1.338591241985942926e+00
4.050000000000000000e+01,1.358312831884544325e+00
4.100000000000000000e+01,1.378169582270831972e+00
4.150000000000000000e+01,1.398151306563855556e+00
4.200000000000000000e+01,1.418247414253992700e+00
4.250000000000000000e+01,1.438446926132952219e+00
4.300000000000000000e+01,1.458738491620908295e+00
4.350000000000000000e+01,1.479110408183799796e+00
4.400000000000000000e+01,1.499550642817839341e+00
4.450000000000000000e+01,1.520046855561598687e+00
4.500000000000000000e+01,1.540586424978927838e+00
4.550000000000000000e+01,1.561156475538535870e+00
4.600000000000000000e+01,1.581743906798518839e+00
4.650000000000000000e+01,1.602335424286721377e+00
4.700000000000000000e+01,1.622917571950722948e+00
4.750000000000000000e+01,1.643476766034722925e+00
4.800000000000000000e+01,1.663999330224850359e+00
4.850000000000000000e+01,1.684471531889721208e+00
4.900000000000000000e+01,1.704879619229583421e+00
4.950000000000000000e+01,1.725209859135390822e+00
5.000000000000000000e+01,1.745448575548768755e+00
5.050000000000000000e+01,1.765582188105349060e+00
5.100000000000000000e+01,1.785597250837411609e+00
5.150000000000000000e+01,1.805480490707396912e+00
5.200000000000000000e+01,1.825218845741733320e+00
5.250000000000000000e+01,1.844799502534534064e+00
5.300000000000000000e+01,1.864209932893283961e+00
5.350000000000000000e+01,1.883437929403469102e+00
5.400000000000000000e+01,1.902471639696257766e+00
5.450000000000000000e+01,1.921299599212783926e+00
5.500000000000000000e+01,1.939910762270095290e+00
5.550000000000000000e+01,1.958294531247392944e+00
5.600000000000000000e+01,1.976440783726541861e+00
5.650000000000000000e+01,1.994339897437810372e+00
5.700000000000000000e+01,2.011982772880179571e+00
5.750000000000000000e+01,2.029360853505151052e+00
5.800000000000000000e+01,2.046466143373342650e+00
5.850000000000000000e+01,2.063291222214312270e+00
5.900000000000000000e+01,2.079829257841429246e+00
5.950000000000000000e+01,2.096074015895147635e+00
6.000000000000000000e+01,2.112019866909328858e+00
6.050000000000000000e+01,2.127661790716174117e+00
6.100000000000000000e+01,2.142995378225474479e+00
6.150000000000000000e+01,2.158016830633165295e+00
