x,oxygen_diffusion_profile
0.000000000000000000e+00,3.313662908201994717e-01
5.000000000000000000e-01,3.304490283366028347e-01
1.000000000000000000e+00,3.294420597888861879e-01
1.500000000000000000e+00,3.283455878570223918e-01
2.000000000000000000e+00,3.271599159467383222e-01
2.500000000000000000e+00,3.258854476591688254e-01
3.000000000000000000e+00,3.245226860857324813e-01
3.500000000000000000e+00,3.230722329299391959e-01
4.000000000000000000e+00,3.215347874582563659e-01
4.500000000000000000e+00,3.199111452825717516e-01
5.000000000000000000e+00,3.182021969771937075e-01
5.500000000000000000e+00,3.164089265337233225e-01
6.000000000000000000e+00,3.145324096575177752e-01
6.500000000000000000e+00,3.125738119098338541e-01
7.000000000000000000e+00,3.105343867001019165e-01
7.500000000000000000e+00,3.084154731331266164e-01
8.000000000000000000e+00,3.062184937163401344e-01
8.500000000000000000e+00,3.039449519325513327e-01
9.000000000000000000e+00,3.015964296839309111e-01
9.500000000000000000e+00,2.991745846132564113e-01
1.000000000000000000e+01,2.966811473087026529e-01
1.050000000000000000e+01,2.941179183987091550e-01
1.100000000000000000e+01,2.914867655436784166e-01
1.150000000000000000e+01,2.887896203314676558e-01
1.200000000000000000e+01,2.860284750838172907e-01
1.250000000000000000e+01,2.832053795810239305e-01
1.300000000000000000e+01,2.803224377123087474e-01
1.350000000000000000e+01,2.773818040594495660e-01
1.400000000000000000e+01,2.743856804213449241e-01
1.450000000000000000e+01,2.713363122872552435e-01
1.500000000000000000e+01,2.682359852665181510e-01
1.550000000000000000e+01,2.650870214825693516e-01
1.600000000000000000e+01,2.618917759391096722e-01
1.650000000000000000e+01,2.586526328662485663e-01
1.700000000000000000e+01,2.553720020544190117e-01
1.750000000000000000e+01,2.520523151838084952e-01
1.800000000000000000e+01,2.486960221569727014e-01
1.850000000000000000e+01,2.453055874422051252e-01
1.900000000000000000e+01,2.418834864351210034e-01
1.950000000000000000e+01,2.384322018457796788e-01
2.000000000000000000e+01,2.349542201185169099e-01
2.050000000000000000e+01,2.314520278914890261e-01
2.100000000000000000e+01,2.279281085027428377e-01
2.150000000000000000e+01,2.243849385494222359e-01
2.200000000000000000e+01,2.208249845065025085e-01
2.250000000000000000e+01,2.172506994112109457e-01
2.300000000000000000e+01,2.136645196190448959e-01
2.350000000000000000e+01,2.100688616370376405e-01
2.400000000000000000e+01,2.064661190396528956e-01
2.450000000000000000e+01,2.028586594724053616e-01
2.500000000000000000e+01,1.992488217480130053e-01
2.550000000000000000e+01,1.956389130395885245e-01
2.600000000000000000e+01,1.920312061750669708e-01
2.650000000000000000e+01,1.884279370367547835e-01
2.700000000000000000e+01,1.848313020695651621e-01
2.750000000000000000e+01,1.812434559011811552e-01
2.800000000000000000e+01,1.776665090770608024e-01
2.850000000000000000e+01,1.741025259128709535e-01
2.900000000000000000e+01,1.705535224666045735e-01
2.950000000000000000e+01,1.670214646323080199e-01
3.000000000000000000e+01,1.635082663570148476e-01
3.050000000000000000e+01,1.600157879821561269e-01
3.100000000000000000e+01,1.565458347103928505e-01
3.150000000000000000e+01,1.531001551984961795e-01
3.200000000000000000e+01,1.496804402765860298e-01
3.250000000000000000e+01,1.462883217937279157e-01
3.300000000000000000e+01,1.429253715895864862e-01
3.350000000000000000e+01,1.395931005915365675e-01
3.400000000000000000e+01,1.362929580363459736e-01
3.450000000000000000e+01,1.330263308152643265e-01
3.500000000000000000e+01,1.297945429410837237e-01
3.550000000000000000e+01,1.265988551354764735e-01
3.600000000000000000e+01,1.234404645346663942e-01
3.650000000000000000e+01,1.203205045112529514e-01
3.700000000000000000e+01,1.172400446097806859e-01
3.750000000000000000e+01,1.142000905934322241e-01
3.800000000000000000e+01,1.112015845990218660e-01
3.850000000000000000e+01,1.082454053972770891e-01
3.900000000000000000e+01,1.053323687552192717e-01
3.950000000000000000e+01,1.024632278972925359e-01
4.000000000000000000e+01,9.963867406173887442e-02
4.050000000000000000e+01,9.685933714858298293e-02
4.100000000000000000e+01,9.412578645546629263e-02
4.150000000000000000e+01,9.143853149746120068e-02
4.200000000000000000e+01,8.879802290690130828e-02
4.250000000000000000e+01,8.620465340917994601e-02
4.300000000000000000e+01,8.365875887040223613e-02
4.350000000000000000e+01,8.116061941271854319e-02
4.400000000000000000e+01,7.871046059312569732e-02
4.450000000000000000e+01,7.630845464149139945e-02
4.500000000000000000e+01,7.395472175354030064e-02
4.550000000000000000e+01,7.164933143453436348e-02
4.600000000000000000e+01,6.939230388938652516e-02
4.650000000000000000e+01,6.718361145496441755e-02
4.700000000000000000e+01,6.502318007036984870e-02
4.750000000000000000e+01,6.291089078101833043e-02
4.800000000000000000e+01,6.084658127239368081e-02
4.850000000000000000e+01,5.883004742941039950e-02
4.900000000000000000e+01,5.686104491738591671e-02
4.950000000000000000e+01,5.493929078070143579e-02
5.000000000000000000e+01,5.306446505531510482e-02
5.050000000000000000e+01,5.123621239138434480e-02
5.100000000000000000e+01,4.945414368235388769e-02
5.150000000000000000e+01,4.771783769697268696e-02
5.200000000000000000e+01,4.602684271081538409e-02
5.250000000000000000e+01,4.438067813400164985e-02
5.300000000000000000e+01,4.277883613193020351e-02
5.350000000000000000e+01,4.122078323597104521e-02
5.400000000000000000e+01,3.970596194119082462e-02
5.450000000000000000e+01,3.823379228832071708e-02
5.500000000000000000e+01,3.680367342731306890e-02
5.550000000000000000e+01,3.541498515997301699e-02
5.600000000000000000e+01,3.406708945929187715e-02
5.650000000000000000e+01,3.275933196325211960e-02
5.700000000000000000e+01,3.149104344101644887e-02
5.750000000000000000e+01,3.026154122955759113e-02
5.800000000000000000e+01,2.907013063892824670e-02
5.850000000000000000e+01,2.791610632451376611e-02
5.900000000000000000e+01,2.679875362475200168e-02
5.950000000000000000e+01,2.571734986294504921e-02
6.000000000000000000e+01,2.467116561192639335e-02
6.050000000000000000e+01,2.365946592048354807e-02
6.100000000000000000e+01,2.268151150057052742e-02
6.150000000000000000e+01,2.173655987447569923e-02
6.200000000000000000e+01,2.082386648123914913e-02
6.250000000000000000e+01,1.994268574173857847e-02
6.300000000000000000e+01,1.909227208198437803e-02
6.350000000000000000e+01,1.827188091428226177e-02
6.400000000000000000e+01,1.748076957603543480e-02
6.450000000000000000e+01,1.671819822606815734e-02
6.500000000000000000e+01,1.598343069845760064e-02
6.550000000000000000e+01,1.527573531396186728e-02
6.600000000000000000e+01,1.459438564922830098e-02
6.650000000000000000e+01,1.393866126405782571e-02
6.700000000000000000e+01,1.330784838708793001e-02
6.750000000000000000e+01,1.270124056033898607e-02
6.800000000000000000e+01,1.211813924314590792e-02
6.850000000000000000e+01,1.155785437606949781e-02
6.900000000000000000e+01,1.101970490544943067e-02
6.950000000000000000e+01,1.050301926932353802e-02
7.000000000000000000e+01,1.000713584549593575e-02
7.050000000000000000e+01,9.531403362589774969e-03
7.100000000000000000e+01,9.075181274968693521e-03
7.150000000000000000e+01,8.637840102455048713e-03
7.200000000000000000e+01,8.218761735812069036e-03
7.250000000000000000e+01,7.817339708992050371e-03
7.300000000000000000e+01,7.432979439183067666e-03
7.350000000000000000e+01,7.065098435712940245e-03
7.400000000000000000e+01,6.713126478891308369e-03
7.450000000000000000e+01,6.376505769888820424e-03
7.500000000000000000e+01,6.054691052766728553e-03
7.550000000000000000e+01,5.747149709780786236e-03
7.600000000000000000e+01,5.453361831090455455e-03
7.650000000000000000e+01,5.172820260008058335e-03
7.700000000000000000e+01,4.905030614922977449e-03
7.750000000000000000e+01,4.649511289033411189e-03
7.800000000000000000e+01,4.405793429012636042e-03
7.850000000000000000e+01,4.173420893728476376e-03
7.900000000000000000e+01,3.951950194123841215e-03
7.950000000000000000e+01,3.740950415352947613e-03
8.000000000000000000e+01,3.540003122252343998e-03
8.050000000000000000e+01,3.348702249208286227e-03
8.100000000000000000e+01,3.166653975462519529e-03
8.150000000000000000e+01,2.993476586877283005e-03
8.200000000000000000e+01,2.828800325157511397e-03
8.250000000000000000e+01,2.672267225503892774e-03
8.300000000000000000e+01,2.523530943644885713e-03
8.350000000000000000e+01,2.382256573169055751e-03
8.400000000000000000e+01,2.248120454051354827e-03
8.450000000000000000e+01,2.120809973238373114e-03
8.500000000000000000e+01,2.000023358128254995e-03
8.550000000000000000e+01,1.885469463751048491e-03
8.600000000000000000e+01,1.776867554424847078e-03
8.650000000000000000e+01,1.673947080632293225e-03
8.700000000000000000e+01,1.576447451831024119e-03
8.750000000000000000e+01,1.484117805880460095e-03
8.800000000000000000e+01,1.396716775736150549e-03
8.850000000000000000e+01,1.314012254031753134e-03
8.900000000000000000e+01,1.235781156137734284e-03
8.950000000000000000e+01,1.161809182255112019e-03
9.000000000000000000e+01,1.091890579072138639e-03
9.050000000000000000e+01,1.025827901481728231e-03
9.100000000000000000e+01,9.634317748278577436e-04
9.150000000000000000e+01,9.045206581200510975e-04
9.200000000000000000e+01,8.489206086265429054e-04
9.250000000000000000e+01,7.964650482288170973e-04
9.300000000000000000e+01,7.469945318929711387e-04
9.350000000000000000e+01,7.003565185868474699e-04
9.400000000000000000e+01,6.564051449460798658e-04
9.450000000000000000e+01,6.150010019672085167e-04
9.500000000000000000e+01,5.760109149818163970e-04
9.550000000000000000e+01,5.393077271422682100e-04
9.600000000000000000e+01,5.047700866271070518e-04
9.650000000000000000e+01,4.722822377524959429e-04
9.700000000000000000e+01,4.417338161552970799e-04
9.750000000000000000e+01,4.130196481934612918e-04
9.800000000000000000e+01,3.860395546903627826e-04
9.850000000000000000e+01,3.606981591315598797e-04
9.900000000000000000e+01,3.369047004051865519e-04
9.950000000000000000e+01,3.145728501607771141e-04
1.000000000000000000e+02,2.936205348457948477e-04
1.005000000000000000e+02,2.739697624644541417e-04
1.010000000000000000e+02,2.555464540895959445e-04
1.015000000000000000e+02,2.382802801453709604e-04
1.020000000000000000e+02,2.221045014662977263e-04
1.025000000000000000e+02,2.069558151268690921e-04
1.030000000000000000e+02,1.927742050252661003e-04
1.035000000000000000e+02,1.795027971948793405e-04
1.040000000000000000e+02,1.670877198082139099e-04
1.045000000000000000e+02,1.554779678293435798e-04
1.050000000000000000e+02,1.446252722633580771e-04
1.055000000000000000e+02,1.344839739441890981e-04
1.060000000000000000e+02,1.250109017957849354e-04
1.065000000000000000e+02,1.161652554958022594e-04
1.070000000000000000e+02,1.079084924657709461e-04
1.075000000000000000e+02,1.002042191070410279e-04
1.080000000000000000e+02,9.301808619771206367e-05
1.085000000000000000e+02,8.631768836214924402e-05
1.090000000000000000e+02,8.007246752158192916e-05
1.095000000000000000e+02,7.425362023163439829e-05
1.100000000000000000e+02,6.883400881042902881e-05
1.105000000000000000e+02,6.378807615910531462e-05
1.110000000000000000e+02,5.909176417518931436e-05
1.115000000000000000e+02,5.472243565820333547e-05
1.120000000000000000e+02,5.065879960620175548e-05
1.125000000000000000e+02,4.688083980153339358e-05
1.130000000000000000e+02,4.336974658404110100e-05
1.135000000000000000e+02,4.010785171009404067e-05
1.140000000000000000e+02,3.707856619628654445e-05
1.145000000000000000e+02,3.426632104730996647e-05
1.150000000000000000e+02,3.165651076838988688e-05
1.155000000000000000e+02,2.923543956376325049e-05
1.160000000000000000e+02,2.699027012392938308e-05
1.165000000000000000e+02,2.490897490582926876e-05
1.170000000000000000e+02,2.298028981167151799e-05
1.175000000000000000e+02,2.119367017381663734e-05
1.180000000000000000e+02,1.953924895493765909e-05
1.185000000000000000e+02,1.800779707458172440e-05
1.190000000000000000e+02,1.659068577524983152e-05
1.195000000000000000e+02,1.527985094317846015e-05
1.200000000000000000e+02,1.406775930113527018e-05
1.205000000000000000e+02,1.294737639272031748e-05
1.210000000000000000e+02,1.191213627988386093e-05
1.215000000000000000e+02,1.095591287762215885e-05
1.220000000000000000e+02,1.007299285208455322e-05
1.225000000000000000e+02,9.258050010610167023e-06
1.230000000000000000e+02,8.506121114502957902e-06
1.235000000000000000e+02,7.812583047642444398e-06
1.240000000000000000e+02,7.173131276307515669e-06
1.245000000000000000e+02,6.583759537856365174e-06
1.250000000000000000e+02,6.040740698151164534e-06
1.255000000000000000e+02,5.540608719836647389e-06
1.260000000000000000e+02,5.080141685772802565e-06
1.265000000000000000e+02,4.656345824079271267e-06
1.270000000000000000e+02,4.266440483369259704e-06
1.275000000000000000e+02,3.907844008830615396e-06
1.280000000000000000e+02,3.578160471848323159e-06
1.285000000000000000e+02,3.275167207853734405e-06
1.290000000000000000e+02,2.996803119029165283e-06
1.295000000000000000e+02,2.741157700390458456e-06
1.300000000000000000e+02,2.506460749613202596e-06
1.305000000000000000e+02,2.291072722759374687e-06
1.310000000000000000e+02,2.093475699799432228e-06
1.315000000000000000e+02,1.912264925509605961e-06
1.320000000000000000e+02,1.746140892954971835e-06
1.325000000000000000e+02,1.593901938345642529e-06
1.330000000000000000e+02,1.454437317576061338e-06
1.335000000000000000e+02,1.326720736226151425e-06
1.340000000000000000e+02,1.209804306218247141e-06
1.345000000000000000e+02,1.102812903685862227e-06
1.350000000000000000e+02,1.004938903919987990e-06
1.355000000000000000e+02,9.154372705165536662e-07
1.360000000000000000e+02,8.336209770557196470e-07
1.365000000000000000e+02,7.588567408007782119e-07
1.370000000000000000e+02,6.905610490125928962e-07
1.375000000000000000e+02,6.281964595358183714e-07
1.380000000000000000e+02,5.712681583267483009e-07
1.385000000000000000e+02,5.193207575607294192e-07
1.390000000000000000e+02,4.719353188808960399e-07
1.395000000000000000e+02,4.287265872307934053e-07
1.400000000000000000e+02,3.893404215525604702e-07
1.405000000000000000e+02,3.534514094310561332e-07
1.410000000000000000e+02,3.207606535239536780e-07
1.415000000000000000e+02,2.909937183397479073e-07
1.420000000000000000e+02,2.638987266111336476e-07
1.425000000000000000e+02,2.392445951616739819e-07
1.430000000000000000e+02,2.168194007803862237e-07
1.435000000000000000e+02,1.964288672031667143e-07
1.440000000000000000e+02,1.778949648531248290e-07
1.445000000000000000e+02,1.610546155151985670e-07
1.450000000000000000e+02,1.457584946151196600e-07
1.455000000000000000e+02,1.318699242401270291e-07
1.460000000000000000e+02,1.192638504799891266e-07
1.465000000000000000e+02,1.078258990830703407e-07
1.470000000000000000e+02,9.745150381451019257e-08
1.475000000000000000e+02,8.804510227318807512e-08
1.480000000000000000e+02,7.951939427210991539e-08
1.485000000000000000e+02,7.179465821422136115e-08
1.490000000000000000e+02,6.479812120344582387e-08
1.495000000000000000e+02,5.846337891994572221e-08
1.500000000000000000e+02,5.272986156016086270e-08
1.505000000000000000e+02,4.754234239700313765e-08
1.510000000000000000e+02,4.285048575456266048e-08
1.515000000000000000e+02,3.860843141565146741e-08
1.520000000000000000e+02,3.477441269029047632e-08
1.525000000000000000e+02,3.131040556961200219e-08
1.530000000000000000e+02,2.818180657334929124e-08
1.535000000000000000e+02,2.535713707082999091e-08
1.540000000000000000e+02,2.280777201586426033e-08
1.545000000000000000e+02,2.050769118577072485e-08
1.550000000000000000e+02,1.843325115463584458e-08
1.555000000000000000e+02,1.656297636134478447e-08
1.560000000000000000e+02,1.487736775451812543e-08
1.565000000000000000e+02,1.335872760977237452e-08
1.570000000000000000e+02,1.199099922020189896e-08
1.575000000000000000e+02,1.075962025913709225e-08
1.580000000000000000e+02,9.651388705525079802e-09
1.585000000000000000e+02,8.654340307137888962e-09
1.590000000000000000e+02,7.757636635648022500e-09
1.595000000000000000e+02,6.951462860809762488e-09
1.600000000000000000e+02,6.226934438912116927e-09
1.605000000000000000e+02,5.576011973670947268e-09
1.610000000000000000e+02,4.991423566129169132e-09
1.615000000000000000e+02,4.466594024241463405e-09
