x,screening_profile
0.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e-01,9.914767845342691999e+01
1.000000000000000000e+00,9.830351933844146117e+01
1.500000000000000000e+00,9.746731026049153002e+01
2.000000000000000000e+00,9.663884358922625495e+01
2.500000000000000000e+00,9.581791605327927641e+01
3.000000000000000000e+00,9.500432868197231073e+01
3.500000000000000000e+00,9.419788674735279699e+01
4.000000000000000000e+00,9.339839970673772029e+01
4.500000000000000000e+00,9.260568114592082622e+01
5.000000000000000000e+00,9.181954872318924288e+01
5.500000000000000000e+00,9.103982411428501109e+01
6.000000000000000000e+00,9.026633295843760152e+01
6.500000000000000000e+00,8.949890480558514128e+01
7.000000000000000000e+00,8.873737306489331900e+01
7.500000000000000000e+00,8.798157495467371803e+01
8.000000000000000000e+00,8.723135145379544042e+01
8.500000000000000000e+00,8.648654725467669380e+01
9.000000000000000000e+00,8.574701071793646179e+01
9.500000000000000000e+00,8.501259382877893245e+01
1.000000000000000000e+01,8.428315215517774561e+01
1.050000000000000000e+01,8.355854480791950323e+01
1.100000000000000000e+01,8.283863440256115496e+01
1.150000000000000000e+01,8.212328702334836805e+01
1.200000000000000000e+01,8.141237218913667562e+01
1.250000000000000000e+01,8.070576282135105828e+01
1.300000000000000000e+01,8.000333521401327630e+01
1.350000000000000000e+01,7.930496900586052789e+01
1.400000000000000000e+01,7.861054715457265729e+01
1.450000000000000000e+01,7.791995591311943770e+01
1.500000000000000000e+01,7.723308480823274635e+01
1.550000000000000000e+01,7.654982662100213986e+01
1.600000000000000000e+01,7.587007736958648252e+01
1.650000000000000000e+01,7.519373629402672066e+01
1.700000000000000000e+01,7.452070584313857182e+01
1.750000000000000000e+01,7.385089166345710510e+01
1.800000000000000000e+01,7.318420259019710272e+01
1.850000000000000000e+01,7.252055064018628627e+01
1.900000000000000000e+01,7.185985100672056092e+01
1.950000000000000000e+01,7.120202205628189063e+01
2.000000000000000000e+01,7.054698532705177172e+01
2.050000000000000000e+01,6.989466552914393560e+01
2.100000000000000000e+01,6.924499054647145613e+01
2.150000000000000000e+01,6.859789144015373097e+01
2.200000000000000000e+01,6.795330245335964037e+01
2.250000000000000000e+01,6.731116101747284119e+01
2.300000000000000000e+01,6.667140775945547659e+01
2.350000000000000000e+01,6.603398651027582389e+01
2.400000000000000000e+01,6.539884431425478795e+01
2.450000000000000000e+01,6.476593143917547479e+01
2.500000000000000000e+01,6.413520138698871165e+01
2.550000000000000000e+01,6.350661090493656502e+01
2.600000000000000000e+01,6.288011999690446885e+01
2.650000000000000000e+01,6.225569193480116326e+01
2.700000000000000000e+01,6.163329326975496514e+01
2.750000000000000000e+01,6.101289384290329565e+01
2.800000000000000000e+01,6.039446679554186659e+01
2.850000000000000000e+01,5.977798857838935476e+01
2.900000000000000000e+01,5.916343895971317579e+01
2.950000000000000000e+01,5.855080103205272479e+01
3.000000000000000000e+01,5.794006121726702219e+01
3.050000000000000000e+01,5.733120926962632780e+01
3.100000000000000000e+01,5.672423827665922147e+01
3.150000000000000000e+01,5.611914465746130531e+01
3.200000000000000000e+01,5.551592815816614035e+01
3.250000000000000000e+01,5.491459184427584717e+01
3.300000000000000000e+01,5.431514208954666145e+01
3.350000000000000000e+01,5.371758856112387548e+01
3.400000000000000000e+01,5.312194420062302669e+01
