x,screening_profile_corrected
0.000000000000000000e+00,1.000000000000000000e+02
5.000000000000000000e-01,9.917743719642150779e+01
1.000000000000000000e+00,9.836250882842585952e+01
1.500000000000000000e+00,9.755501367220004738e+01
2.000000000000000000e+00,9.675475492030555813e+01
2.500000000000000000e+00,9.596153979535264966e+01
3.000000000000000000e+00,9.517517949833489865e+01
3.500000000000000000e+00,9.439548915719151978e+01
4.000000000000000000e+00,9.362228777576530092e+01
4.500000000000000000e+00,9.285539818331103845e+01
5.000000000000000000e+00,9.209464698469835753e+01
5.500000000000000000e+00,9.133986451144289731e+01
6.000000000000000000e+00,9.059088477369107295e+01
6.500000000000000000e+00,8.984754541327569655e+01
7.000000000000000000e+00,8.910968765795182378e+01
7.500000000000000000e+00,8.837715627691500231e+01
8.000000000000000000e+00,8.764979953769660881e+01
8.500000000000000000e+00,8.692746916452510675e+01
9.000000000000000000e+00,8.621002029823442570e+01
9.500000000000000000e+00,8.549731145779509234e+01
1.000000000000000000e+01,8.478920450353723481e+01
1.050000000000000000e+01,8.408556460212865602e+01
1.100000000000000000e+01,8.338626019336500406e+01
1.150000000000000000e+01,8.269116295882363943e+01
1.200000000000000000e+01,8.200014779242661689e+01
1.250000000000000000e+01,8.131309277295268600e+01
1.300000000000000000e+01,8.062987913853235966e+01
1.350000000000000000e+01,7.995039126315434430e+01
1.400000000000000000e+01,7.927451663520605507e+01
1.450000000000000000e+01,7.860214583806455835e+01
1.500000000000000000e+01,7.793317253274872769e+01
1.550000000000000000e+01,7.726749344263737385e+01
1.600000000000000000e+01,7.660500834025116035e+01
1.650000000000000000e+01,7.594562003609065926e+01
1.700000000000000000e+01,7.528923436951544090e+01
1.750000000000000000e+01,7.463576020164278191e+01
1.800000000000000000e+01,7.398510941023694443e+01
1.850000000000000000e+01,7.333719688655337166e+01
1.900000000000000000e+01,7.269194053409358958e+01
1.950000000000000000e+01,7.204926126921952800e+01
2.000000000000000000e+01,7.140908302356695003e+01
2.050000000000000000e+01,7.077133274818969255e+01
2.100000000000000000e+01,7.013594041935739654e+01
2.150000000000000000e+01,6.950283904591954354e+01
2.200000000000000000e+01,6.887196467814034406e+01
2.250000000000000000e+01,6.824325641789768326e+01
2.300000000000000000e+01,6.761665643013022020e+01
2.350000000000000000e+01,6.699210995540566671e+01
