x,suppression_factor
0.000000000000000000e+00,1.162521570070107035e+00
5.000000000000000000e-01,1.174659493597988158e+00
1.000000000000000000e+00,1.186849807688483249e+00
1.500000000000000000e+00,1.199091762004009132e+00
2.000000000000000000e+00,1.211384652924116123e+00
2.500000000000000000e+00,1.223727826394896301e+00
3.000000000000000000e+00,1.236120680839160491e+00
3.500000000000000000e+00,1.248562670106095229e+00
4.000000000000000000e+00,1.261053306460593548e+00
4.500000000000000000e+00,1.273592163612456307e+00
5.000000000000000000e+00,1.286178879785681906e+00
5.500000000000000000e+00,1.298813160828069524e+00
6.000000000000000000e+00,1.311494783361368377e+00
6.500000000000000000e+00,1.324223597972217226e+00
7.000000000000000000e+00,1.336999532444115291e+00
7.500000000000000000e+00,1.349822595030669481e+00
8.000000000000000000e+00,1.362692877770369959e+00
8.500000000000000000e+00,1.375610559843121861e+00
9.000000000000000000e+00,1.388575910968771865e+00
9.500000000000000000e+00,1.401589294847836786e+00
1.000000000000000000e+01,1.414651172644635135e+00
1.050000000000000000e+01,1.427762106512993290e+00
1.100000000000000000e+01,1.440922763164666165e+00
1.150000000000000000e+01,1.454133917480577187e+00
1.200000000000000000e+01,1.467396456164946406e+00
1.250000000000000000e+01,1.480711381442305630e+00
1.300000000000000000e+01,1.494079814797370842e+00
1.350000000000000000e+01,1.507503000757639100e+00
1.400000000000000000e+01,1.520982310718530961e+00
1.450000000000000000e+01,1.534519246810798654e+00
1.500000000000000000e+01,1.548115445809819857e+00
1.550000000000000000e+01,1.561772683086301239e+00
1.600000000000000000e+01,1.575492876597786918e+00
1.650000000000000000e+01,1.589278090920239084e+00
1.700000000000000000e+01,1.603130541318805502e+00
1.750000000000000000e+01,1.617052597856749818e+00
1.800000000000000000e+01,1.631046789541324538e+00
1.850000000000000000e+01,1.645115808505191568e+00
1.900000000000000000e+01,1.659262514221798046e+00
1.950000000000000000e+01,1.673489937752894452e+00
2.000000000000000000e+01,1.687801286026135550e+00
2.050000000000000000e+01,1.702199946140483755e+00
2.100000000000000000e+01,1.716689489696852089e+00
2.150000000000000000e+01,1.731273677151133672e+00
2.200000000000000000e+01,1.745956462186507796e+00
2.250000000000000000e+01,1.760741996101543361e+00
2.300000000000000000e+01,1.775634632210352892e+00
2.350000000000000000e+01,1.790638930250659344e+00
2.400000000000000000e+01,1.805759660795318133e+00
2.450000000000000000e+01,1.821001809662432525e+00
2.500000000000000000e+01,1.836370582318865408e+00
2.550000000000000000e+01,1.851871408271501984e+00
2.600000000000000000e+01,1.867509945440278374e+00
