x,current_density_corrected
0.000000000000000000e+00,5.882180881888292694e+10
5.000000000000000000e-01,5.829857321440135956e+10
1.000000000000000000e+00,5.790786668052738190e+10
1.500000000000000000e+00,5.764690247648989868e+10
2.000000000000000000e+00,5.751358322473694611e+10
2.500000000000000000e+00,5.750647549426418304e+10
3.000000000000000000e+00,5.762478612521720886e+10
3.500000000000000000e+00,5.786833935489018250e+10
4.000000000000000000e+00,5.823755464749588013e+10
4.500000000000000000e+00,5.873342422333293915e+10
5.000000000000000000e+00,5.935748943298706818e+10
5.500000000000000000e+00,6.011181488460437775e+10
6.000000000000000000e+00,6.099895902997295380e+10
6.500000000000000000e+00,6.202193969136297607e+10
7.000000000000000000e+00,6.318419276639818573e+10
7.500000000000000000e+00,6.448952208594207764e+10
8.000000000000000000e+00,6.594203812707186127e+10
8.500000000000000000e+00,6.754608301167341614e+10
9.000000000000000000e+00,6.930613896953761292e+10
9.500000000000000000e+00,7.122671723987959290e+10
1.000000000000000000e+01,7.331222426391592407e+10
1.050000000000000000e+01,7.556680203240370178e+10
1.100000000000000000e+01,7.799413965797880554e+10
1.150000000000000000e+01,8.059725371830795288e+10
1.200000000000000000e+01,8.337823575002574158e+10
1.250000000000000000e+01,8.633796656029949951e+10
1.300000000000000000e+01,8.947579885701359558e+10
1.350000000000000000e+01,9.278921215999377441e+10
1.400000000000000000e+01,9.627344709012951660e+10
1.450000000000000000e+01,9.992112992587460327e+10
1.500000000000000000e+01,1.037219026602832947e+11
1.550000000000000000e+01,1.076620784534626007e+11
1.600000000000000000e+01,1.117243469668929138e+11
1.650000000000000000e+01,1.158875580289286652e+11
1.700000000000000000e+01,1.201266146972663269e+11
1.750000000000000000e+01,1.244125072284957123e+11
1.800000000000000000e+01,1.287125169040381165e+11
1.850000000000000000e+01,1.329906123302606812e+11
1.900000000000000000e+01,1.372080509883030701e+11
1.950000000000000000e+01,1.413241835281651917e+11
2.000000000000000000e+01,1.452974425968848267e+11
2.050000000000000000e+01,1.490864783663389587e+11
2.100000000000000000e+01,1.526513856172858582e+11
2.150000000000000000e+01,1.559549528436129150e+11
2.200000000000000000e+01,1.589638553822023010e+11
2.250000000000000000e+01,1.616497138342397156e+11
2.300000000000000000e+01,1.639899468057944031e+11
2.350000000000000000e+01,1.659683627042150574e+11
2.400000000000000000e+01,1.675754571064714966e+11
2.450000000000000000e+01,1.688084071877689819e+11
2.500000000000000000e+01,1.696707796201730347e+11
2.550000000000000000e+01,1.701719893080153809e+11
2.600000000000000000e+01,1.703265638502218628e+11
2.650000000000000000e+01,1.701532748753435974e+11
2.700000000000000000e+01,1.696742015728533936e+11
2.750000000000000000e+01,1.689137859506946106e+11
2.800000000000000000e+01,1.678979306834764404e+11
2.850000000000000000e+01,1.666531786699354858e+11
2.900000000000000000e+01,1.652060000106690063e+11
2.950000000000000000e+01,1.635822017994663086e+11
3.000000000000000000e+01,1.618064631008557434e+11
3.050000000000000000e+01,1.599019912142976685e+11
3.100000000000000000e+01,1.578902885982957458e+11
3.150000000000000000e+01,1.557910163409197998e+11
3.200000000000000000e+01,1.536219383474680481e+11
3.250000000000000000e+01,1.513989335704757385e+11
3.300000000000000000e+01,1.488039234831203613e+11
3.350000000000000000e+01,1.461768388356401978e+11
3.400000000000000000e+01,1.435961357139556274e+11
3.450000000000000000e+01,1.410609928578977966e+11
3.500000000000000000e+01,1.385706082831867981e+11
3.550000000000000000e+01,1.361241894718303833e+11
3.600000000000000000e+01,1.337209625071145325e+11
3.650000000000000000e+01,1.313601626073151398e+11
3.700000000000000000e+01,1.290410429409850922e+11
3.750000000000000000e+01,1.267628654919641266e+11
3.800000000000000000e+01,1.245249095661514130e+11
3.850000000000000000e+01,1.223264629762185974e+11
3.900000000000000000e+01,1.201668302506654510e+11
3.950000000000000000e+01,1.180453241270470886e+11
4.000000000000000000e+01,1.159612734737321167e+11
4.050000000000000000e+01,1.139140150808467407e+11
4.100000000000000000e+01,1.119029013047901611e+11
4.150000000000000000e+01,1.099272921464761963e+11
4.200000000000000000e+01,1.079865626283087006e+11
4.250000000000000000e+01,1.060800951496661377e+11
4.300000000000000000e+01,1.042072866057000885e+11
4.350000000000000000e+01,1.023675410103599548e+11
4.400000000000000000e+01,1.005602763660502777e+11
4.450000000000000000e+01,9.878491754483222961e+10
4.500000000000000000e+01,9.704090291765902710e+10
4.550000000000000000e+01,9.532767748471864319e+10
4.600000000000000000e+01,9.364469927266166687e+10
4.650000000000000000e+01,9.199143270536572266e+10
4.700000000000000000e+01,9.036735477727546692e+10
